,Position,Country,Car,Points
Sebastian Vettel,1,GER,Red Bull Racing Renault,281
Fernando Alonso,2,ESP,Ferrari,278
Kimi Räikkönen,3,FIN,Lotus Renault,207
Lewis Hamilton,4,GBR,McLaren Mercedes,190
Jenson Button,5,GBR,McLaren Mercedes,188
Mark Webber,6,AUS,Red Bull Racing Renault,179
Felipe Massa,7,BRA,Ferrari,122
Romain Grosjean,8,FRA,Lotus Renault,96
Nico Rosberg,9,GER,Mercedes,93
Sergio Perez,10,MEX,Sauber Ferrari,66
Nico Hulkenberg,11,GER,Force India Mercedes,63
Kamui Kobayashi,12,JPN,Sauber Ferrari,60
Michael Schumacher,13,GER,Mercedes,49
Paul di Resta,14,GBR,Force India Mercedes,46
Pastor Maldonado,15,VEN,Williams Renault,45
Bruno Senna,16,BRA,Williams Renault,31
Jean-Eric Vergne,17,FRA,STR Ferrari,16
Daniel Ricciardo,18,AUS,STR Ferrari,10
Vitaly Petrov,19,RUS,Caterham Renault,0
Timo Glock,20,GER,Marussia Cosworth,0
Charles Pic,21,FRA,Marussia Cosworth,0
Heikki Kovalainen,22,FIN,Caterham Renault,0
Jerome d'Ambrosio,23,BEL,Lotus Renault,0
Narain Karthikeyan,24,IND,HRT Cosworth,0
Pedro de la Rosa,25,ESP,HRT Cosworth,0
