,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,43,1:28.451,239.766,15:19:41
33,2,Max Verstappen,Red Bull Racing Honda,46,1:29.465,237.049,15:24:00
23,3,Alexander Albon,Red Bull Racing Honda,46,1:29.477,237.017,15:24:35
77,4,Valtteri Bottas,Mercedes,44,1:29.765,236.256,15:21:05
6,5,Nicholas Latifi,Williams Mercedes,48,1:29.950,235.770,15:28:58
27,6,Nico Hulkenberg,Racing Point BWT Mercedes,52,1:30.087,235.412,15:33:55
10,7,Pierre Gasly,AlphaTauri Honda,52,1:30.092,235.399,15:34:09
16,8,Charles Leclerc,Ferrari,39,1:30.552,234.203,15:13:35
55,9,Carlos Sainz,McLaren Renault,49,1:30.556,234.193,15:29:40
31,10,Esteban Ocon,Renault,50,1:30.575,234.144,15:31:00
4,11,Lando Norris,McLaren Renault,49,1:30.698,233.826,15:29:31
26,12,Daniil Kvyat,AlphaTauri Honda,52,1:30.738,233.723,15:34:08
5,13,Sebastian Vettel,Ferrari,49,1:30.785,233.602,15:29:39
8,14,Romain Grosjean,Haas Ferrari,51,1:30.793,233.581,15:33:24
18,15,Lance Stroll,Racing Point BWT Mercedes,45,1:30.877,233.365,15:23:00
3,16,Daniel Ricciardo,Renault,39,1:31.168,232.621,15:14:41
63,17,George Russell,Williams Mercedes,50,1:31.408,232.010,15:31:58
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,30,1:31.756,231.130,15:00:49
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,37,1:31.826,230.954,15:11:52
20,20,Kevin Magnussen,Haas Ferrari,39,1:31.830,230.944,15:15:15
