,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:25.606,22
77,2,Valtteri Bottas,Mercedes,+0.176s,22
3,3,Daniel Ricciardo,Renault,+0.815s,29
33,4,Max Verstappen,Red Bull Racing Honda,+0.831s,15
18,5,Lance Stroll,Racing Point BWT Mercedes,+0.895s,24
27,6,Nico Hulkenberg,Racing Point BWT Mercedes,+1.140s,26
16,7,Charles Leclerc,Ferrari,+1.206s,32
4,8,Lando Norris,McLaren Renault,+1.261s,26
55,9,Carlos Sainz,McLaren Renault,+1.312s,24
31,10,Esteban Ocon,Renault,+1.322s,25
23,11,Alexander Albon,Red Bull Racing Honda,+1.354s,25
26,12,Daniil Kvyat,AlphaTauri Honda,+1.396s,33
10,13,Pierre Gasly,AlphaTauri Honda,+1.522s,31
5,14,Sebastian Vettel,Ferrari,+1.592s,30
8,15,Romain Grosjean,Haas Ferrari,+1.688s,28
63,16,George Russell,Williams Mercedes,+1.714s,31
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.929s,30
20,18,Kevin Magnussen,Haas Ferrari,+1.976s,28
6,19,Nicholas Latifi,Williams Mercedes,+2.077s,32
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.349s,26
