,Position,Driver,Car,Lap,Time,Avg Speed
15,1,Sebastian Vettel,RBR Renault,54,1:40.279,199.387
12,2,Sebastien Buemi,STR Ferrari,55,1:40.326,199.294
1,3,Lewis Hamilton,McLaren Mercedes,16,1:40.367,199.212
23,4,Rubens Barrichello,Brawn Mercedes,54,1:40.449,199.050
14,5,Mark Webber,RBR Renault,14,1:40.571,198.808
22,6,Jenson Button,Brawn Mercedes,49,1:40.642,198.668
6,7,Nick Heidfeld,Sauber BMW,54,1:40.672,198.609
9,8,Jarno Trulli,Toyota,49,1:40.723,198.508
17,9,Kazuki Nakajima,Williams Toyota,54,1:40.754,198.447
7,10,Fernando Alonso,Renault,54,1:40.757,198.441
10,11,Kamui Kobayashi,Toyota,55,1:40.779,198.398
4,12,Kimi Räikkönen,Ferrari,54,1:40.843,198.272
20,13,Adrian Sutil,Force India Mercedes,34,1:40.904,198.152
5,14,Robert Kubica,Sauber BMW,54,1:40.924,198.113
16,15,Nico Rosberg,Williams Toyota,49,1:40.997,197.970
3,16,Giancarlo Fisichella,Ferrari,54,1:41.132,197.705
21,17,Vitantonio Liuzzi,Force India Mercedes,54,1:41.277,197.422
2,18,Heikki Kovalainen,McLaren Mercedes,53,1:41.316,197.346
8,19,Romain Grosjean,Renault,47,1:42.274,195.498
11,20,Jaime Alguersuari,STR Ferrari,16,1:43.318,193.522
