,Position,Driver,Car,Time
6,1,Nico Rosberg,Mercedes,1:40.480
44,2,Lewis Hamilton,Mercedes,1:40.866
77,3,Valtteri Bottas,Williams Mercedes,1:41.025
19,4,Felipe Massa,Williams Mercedes,1:41.119
26,5,Daniil Kvyat,STR Renault,1:41.908
22,6,Jenson Button,McLaren Mercedes,1:41.964
7,7,Kimi Räikkönen,Ferrari,1:42.236
14,8,Fernando Alonso,Ferrari,1:42.866
20,9,Kevin Magnussen,McLaren Mercedes,1:42.198
25,10,Jean-Eric Vergne,STR Renault,1:42.207
11,11,Sergio Perez,Force India Mercedes,1:42.239
27,12,Nico Hulkenberg,Force India Mercedes,1:42.384
99,13,Adrian Sutil,Sauber Ferrari,1:43.074
21,14,Esteban Gutierrez ,Sauber Ferrari,1:42.819
13,15,Pastor Maldonado,Lotus Renault,1:42.860
10,16,Kamui Kobayashi,Caterham Renault,1:44.540
46,17,Will Stevens,Caterham Renault,1:45.095
8,18,Romain Grosjean,Lotus Renault,1:42.768
