,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,43,1:43.729,192.756,18:20:34
14,2,Fernando Alonso,McLaren Honda,50,1:44.495,191.343,18:33:44
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,29,1:44.889,190.624,17:55:54
8,4,Romain Grosjean,Haas Ferrari,45,1:44.970,190.477,18:25:13
44,5,Lewis Hamilton,Mercedes,37,1:45.137,190.174,18:09:49
7,6,Kimi Räikkönen,Ferrari,35,1:45.163,190.127,18:06:30
33,7,Max Verstappen,Red Bull Racing TAG Heuer,36,1:45.187,190.084,18:08:09
11,8,Sergio Perez,Force India Mercedes,30,1:45.249,189.972,17:58:04
6,9,Nico Rosberg,Mercedes,33,1:45.261,189.950,18:02:49
19,10,Felipe Massa,Williams Mercedes,33,1:45.675,189.206,18:03:33
30,11,Jolyon Palmer,Renault,46,1:45.715,189.134,18:28:06
21,12,Esteban Gutierrez ,Haas Ferrari,45,1:45.928,188.754,18:25:25
27,13,Nico Hulkenberg,Force India Mercedes,31,1:45.949,188.717,17:59:47
94,14,Pascal Wehrlein,MRT Mercedes,26,1:46.145,188.368,17:51:49
31,15,Esteban Ocon,MRT Mercedes,46,1:46.189,188.290,18:27:52
9,16,Marcus Ericsson,Sauber Ferrari,40,1:46.216,188.242,18:17:16
12,17,Felipe Nasr,Sauber Ferrari,44,1:46.287,188.117,18:24:27
55,18,Carlos Sainz,Toro Rosso Ferrari,30,1:46.591,187.580,17:58:54
77,19,Valtteri Bottas,Williams Mercedes,4,1:47.837,185.413,17:10:53
20,20,Kevin Magnussen,Renault,4,1:48.601,184.108,17:11:29
26,21,Daniil Kvyat,Toro Rosso Ferrari,13,1:48.752,183.853,17:27:47
22,22,Jenson Button,McLaren Honda,4,1:48.753,183.851,17:10:57
