,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:36.828,1:35.693,1:34.794,19
77,2,Valtteri Bottas,Mercedes,1:36.789,1:36.392,1:34.956,19
5,3,Sebastian Vettel,Ferrari,1:36.775,1:36.345,1:35.125,18
7,4,Kimi Räikkönen,Ferrari,1:37.010,1:36.735,1:35.365,18
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:37.117,1:36.964,1:35.401,16
33,6,Max Verstappen,Red Bull Racing TAG Heuer,1:37.195,1:36.144,1:35.589,14
8,7,Romain Grosjean,Haas Ferrari,1:37.575,1:36.732,1:36.192,15
16,8,Charles Leclerc,Sauber Ferrari,1:37.124,1:36.580,1:36.237,20
31,9,Esteban Ocon,Force India Mercedes,1:36.936,1:36.814,1:36.540,18
27,10,Nico Hulkenberg,Renault,1:37.569,1:36.630,1:36.542,15
55,11,Carlos Sainz,Renault,1:37.757,1:36.982,,9
9,12,Marcus Ericsson,Sauber Ferrari,1:37.619,1:37.132,,14
20,13,Kevin Magnussen,Haas Ferrari,1:37.934,1:37.309,,12
11,14,Sergio Perez,Force India Mercedes,1:37.255,1:37.541,,12
14,15,Fernando Alonso,McLaren Renault,1:37.890,1:37.743,,15
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:37.994,,,9
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,1:38.166,,,9
2,18,Stoffel Vandoorne,McLaren Renault,1:38.577,,,9
35,19,Sergey Sirotkin,Williams Mercedes,1:38.635,,,6
18,20,Lance Stroll,Williams Mercedes,1:38.682,,,6
