,Position,Driver,Car,Time
1,1,James Hunt,McLaren Ford,1:48.680
7,2,John Watson,Brabham Alfa Romeo,1:48.960
4,3,Patrick Depailler,Tyrrell Ford,1:49.130
11,4,Niki Lauda,Ferrari,1:49.730
2,5,Jochen Mass,McLaren Ford,1:49.810
8,6,Carlos Pace,Brabham Alfa Romeo,1:49.970
12,7,Carlos Reutemann,Ferrari,1:50.020
5,8,Mario Andretti,Lotus Ford,1:50.130
16,9,Tom Pryce,Shadow Ford,1:50.650
6,10,Gunnar Nilsson,Lotus Ford,1:50.660
20,11,Jody Scheckter,Wolf Ford,1:50.760
22,12,Clay Regazzoni,Ensign Ford,1:50.970
19,13,Vittorio Brambilla,Surtees Ford,1:51.030
3,14,Ronnie Peterson,Tyrrell Ford,1:51.340
26,15,Jacques Laffite,Ligier Matra,1:51.520
28,16,Emerson Fittipaldi,Fittipaldi Ford,1:51.530
10,17,Ian Scheckter,March Ford,1:52.400
18,18,Hans Binder,Surtees Ford,1:53.110
29,19,Ingo Hoffman,Fittipaldi Ford,1:53.280
9,20,Alex Ribeiro,March Ford,1:53.540
17,21,Renzo Zorzi,Shadow Ford,1:54.190
