,Position,Driver,Car,Time / Gap,Laps
5,1,Damon Hill,Williams Renault,1:29.694,30
1,2,Michael Schumacher,Ferrari,+0.105s,30
3,3,Jean Alesi,Benetton Renault,+0.325s,29
7,4,Mika Hakkinen,McLaren Mercedes,+0.339s,24
19,5,Mika Salo,Tyrrell Yamaha,+0.446s,28
15,6,Heinz-Harald Frentzen,Sauber Ford,+0.803s,30
11,7,Rubens Barrichello,Jordan Peugeot,+1.072s,28
8,8,David Coulthard,McLaren Mercedes,+1.076s,30
4,9,Gerhard Berger,Benetton Renault,+1.196s,30
9,10,Olivier Panis,Ligier Mugen Honda,+1.319s,28
6,11,Jacques Villeneuve,Williams Renault,+1.388s,29
2,12,Eddie Irvine,Ferrari,+1.674s,28
18,13,Ukyo Katayama,Tyrrell Yamaha,+1.714s,26
20,14,Pedro Lamy,Minardi Ford,+2.117s,29
14,15,Johnny Herbert,Sauber Ford,+2.344s,29
17,16,Jos Verstappen,Footwork Hart,+2.390s,17
12,17,Martin Brundle,Jordan Peugeot,+2.482s,29
21,18,Tarso Marques,Minardi Ford,+2.665s,29
10,19,Pedro Diniz,Ligier Mugen Honda,+3.125s,21
16,20,Ricardo Rosset,Footwork Hart,+3.139s,25
23,21,Andrea Montermini,Forti Ford,+4.409s,30
22,22,Luca Badoer,Forti Ford,+5.350s,30
