,Position,Driver,Car,Laps,Time,Points
3,1,Michael Schumacher,Ferrari,72,1:48:36.175,10
8,2,Mika Hakkinen,McLaren Mercedes,72,+22.899s,6
4,3,Eddie Irvine,Ferrari,72,+57.745s,4
6,4,Alexander Wurz,Benetton Playlife,72,+68.134s,3
14,5,Jean Alesi,Sauber Petronas,72,+78.286s,2
7,6,David Coulthard,McLaren Mercedes,72,+79.751s,1
5,7,Giancarlo Fisichella,Benetton Playlife,72,+88.438s,0
9,8,Damon Hill,Jordan Mugen Honda,71,+1 lap,0
2,9,Heinz-Harald Frentzen,Williams Mecachrome,71,+1 lap,0
18,10,Rubens Barrichello,Stewart Ford,70,+2 laps,0
12,11,Jarno Trulli,Prost Peugeot,70,+2 laps,0
21,12,Toranosuke Takagi,Tyrrell Ford,70,+2 laps,0
22,13,Shinji Nakano,Minardi Ford,69,+3 laps,0
20,14,Ricardo Rosset,Tyrrell Ford,68,+4 laps,0
11,15,Olivier Panis,Prost Peugeot,65,DNF,0
23,NC,Esteban Tuero,Minardi Ford,63,DNF,0
1,NC,Jacques Villeneuve,Williams Mecachrome,52,DNF,0
15,NC,Johnny Herbert,Sauber Petronas,46,DNF,0
10,NC,Ralf Schumacher,Jordan Mugen Honda,22,DNF,0
17,NC,Mika Salo,Arrows,18,DNF,0
19,NC,Jan Magnussen,Stewart Ford,17,DNF,0
16,NC,Pedro Diniz,Arrows,13,DNF,0
