,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,59,1:21.216
1,2,Nelson Piquet,Lotus Honda,62,1:21.502
16,3,Ivan Capelli,March Judd,69,1:21.526
12,4,Ayrton Senna,McLaren Honda,39,1:21.668
22,5,Andrea de Cesaris,Rial Ford,77,1:21.677
5,6,Nigel Mansell,Williams Judd,55,1:21.713
20,7,Thierry Boutsen,Benetton Ford,77,1:21.793
28,8,Gerhard Berger,Ferrari,21,1:21.900
6,9,Riccardo Patrese,Williams Judd,62,1:21.948
14,10,Philippe Streiff,AGS Ford,56,1:22.288
26,11,Stefan Johansson,Ligier Judd,73,1:22.433
19,12,Alessandro Nannini,Benetton Ford,61,1:22.467
30,13,Philippe Alliot,Lola Ford,62,1:22.506
23,14,Pierluigi Martini,Minardi Ford,53,1:22.888
33,15,Stefano Modena,Euro Brun Ford,40,1:22.935
24,16,Luis Perez-Sala,Minardi Ford,40,1:23.195
2,17,Satoru Nakajima,Lotus Honda,12,1:23.500
18,18,Eddie  Cheever,Arrows Megatron,41,1:23.529
15,19,Mauricio Gugelmin,March Judd,31,1:23.727
36,20,Alex Caffi,Dallara Ford,10,1:23.847
17,21,Derek Warwick,Arrows Megatron,10,1:24.064
3,22,Jonathan  Palmer,Tyrrell Ford,15,1:24.726
32,23,Oscar Larrauri,Euro Brun Ford,11,1:24.777
25,24,Rene Arnoux,Ligier Judd,5,1:25.095
9,25,Piercarlo Ghinzani,Zakspeed,8,1:26.100
