,Position,Driver,Car,Time
17,1,Nicola Larini,Osella Ford,1:18.379
1,1,Ayrton Senna,McLaren Honda,1:16.665
2,2,Alain Prost,McLaren Honda,1:17.403
30,2,Philippe Alliot,Lola Lamborghini,1:18.523
23,3,Pierluigi Martini,Minardi Ford,1:17.623
18,3,Piercarlo Ghinzani,Osella Ford,1:19.153
19,4,Alessandro Nannini,Benetton Ford,1:17.762
37,4,Jyrki Jarvilehto,Onyx Ford,1:19.442
36,5,Stefan Johansson,Onyx Ford,1:19.539
5,5,Thierry Boutsen,Williams Renault,1:17.791
29,6,Michele Alboreto,Lola Lamborghini,1:20.129
6,6,Riccardo Patrese,Williams Renault,1:17.827
27,7,Nigel Mansell,Ferrari,1:18.313
34,7,Bernd Schneider,Zakspeed Yamaha,1:20.179
31,8,Roberto Moreno,Coloni Ford,1:20.183
8,8,Stefano Modena,Brabham Judd,1:18.750
22,9,Andrea de Cesaris,Dallara Ford,1:18.828
33,9,Oscar Larrauri,Euro Brun Judd,1:20.750
21,10,Alex Caffi,Dallara Ford,1:18.857
35,10,Aguri Suzuki,Zakspeed Yamaha,1:21.012
41,11,Yannick Dalmas,AGS Ford,1:21.022
40,12,Gabriele Tarquini,AGS Ford,1:21.600
7,12,Martin Brundle,Brabham Judd,1:19.136
20,13,Emanuele Pirro,Benetton Ford,1:19.217
32,13,Enrico Bertaggia,Coloni Ford,1:24.081
28,14,Gerhard Berger,Ferrari,1:19.238
4,15,Jean Alesi,Tyrrell Ford,1:19.259
16,16,Ivan Capelli,March Judd,1:19.269
11,18,Nelson Piquet,Lotus Judd,1:19.392
9,20,Derek Warwick,Arrows Ford,1:19.599
10,22,Eddie  Cheever,Arrows Ford,1:19.922
12,23,Satoru Nakajima,Lotus Judd,1:20.066
26,24,Olivier Grouillard,Ligier Ford,1:20.073
15,25,Mauricio Gugelmin,March Judd,1:20.191
25,26,Rene Arnoux,Ligier Ford,1:20.391
3,27,Jonathan  Palmer,Tyrrell Ford,1:20.428
24,28,Luis Perez-Sala,Minardi Ford,1:20.633
39,29,Bertrand Gachot,Rial Ford,1:22.267
38,30,Pierre Henri Raphanel,Rial Ford,1:22.305
