,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:14.041
2,2,Gerhard Berger,McLaren Honda,1:14.385
5,3,Nigel Mansell,Williams Renault,1:14.822
6,4,Riccardo Patrese,Williams Renault,1:15.057
20,5,Nelson Piquet,Benetton Ford,1:15.291
19,6,Michael Schumacher,Benetton Ford,1:15.508
28,7,Jean Alesi,Ferrari,1:15.545
27,8,Gianni Morbidelli,Ferrari,1:16.203
4,9,Stefano Modena,Tyrrell Honda,1:16.253
23,10,Pierluigi Martini,Minardi Ferrari,1:16.359
22,11,Jyrki Jarvilehto,Dallara Judd,1:16.871
33,12,Andrea de Cesaris,Jordan Ford,1:17.050
21,13,Emanuele Pirro,Dallara Judd,1:17.342
15,14,Mauricio Gugelmin,Leyton House Ilmor,1:17.344
9,15,Michele Alboreto,Footwork Porsche,1:17.355
32,16,Alessandro Zanardi,Jordan Ford,1:17.362
8,17,Mark Blundell,Brabham Yamaha,1:17.365
24,18,Roberto Moreno,Minardi Ferrari,1:17.639
34,19,Nicola Larini,Lambo Lamborghini,1:17.936
25,20,Thierry Boutsen,Ligier Lamborghini,1:17.969
12,21,Johnny Herbert,Lotus Judd,1:18.091
26,22,Erik Comas,Ligier Lamborghini,1:18.112
10,23,Alex Caffi,Footwork Porsche,1:18.157
3,24,Satoru Nakajima,Tyrrell Honda,1:18.216
11,25,Mika Hakkinen,Lotus Judd,1:18.271
16,26,Karl Wendlinger,Leyton House Ilmor,1:18.282
