,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,29,1:24.125,226.933
2,2,Rubens Barrichello,Ferrari,8,1:24.179,226.788
8,3,Fernando Alonso,Renault,10,1:25.088,224.365
3,4,Juan Pablo Montoya,Williams BMW,42,1:25.286,223.844
4,5,Ralf Schumacher,Williams BMW,11,1:25.824,222.441
14,6,Mark Webber,Jaguar Cosworth,15,1:25.952,222.110
9,7,Jenson Button,BAR Honda,24,1:25.982,222.032
10,8,Takuma Sato,BAR Honda,43,1:26.077,221.787
7,9,Jarno Trulli,Renault,9,1:26.275,221.278
11,10,Giancarlo Fisichella,Sauber Petronas,39,1:26.282,221.260
5,11,David Coulthard,McLaren Mercedes,13,1:26.328,221.142
12,12,Felipe Massa,Sauber Petronas,11,1:26.846,219.823
18,13,Nick Heidfeld,Jordan Ford,27,1:27.503,218.173
17,14,Olivier Panis,Toyota,35,1:27.807,217.417
16,15,Cristiano da Matta,Toyota,41,1:27.820,217.385
15,16,Christian Klien,Jaguar Cosworth,6,1:27.840,217.336
6,17,Kimi Räikkönen,McLaren Mercedes,7,1:27.936,217.098
19,18,Giorgio Pantano,Jordan Ford,15,1:28.523,215.659
20,19,Gianmaria Bruni,Minardi Cosworth,10,1:30.161,211.741
21,20,Zsolt Baumgartner,Minardi Cosworth,8,1:30.621,210.666
