,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:24.408,6
2,2,Rubens Barrichello,Ferrari,1:24.482,6
3,3,Juan Pablo Montoya,Williams BMW,1:24.998,6
9,4,Jenson Button,BAR Honda,1:24.998,6
8,5,Fernando Alonso,Renault,1:25.699,6
14,6,Mark Webber,Jaguar Cosworth,1:25.805,6
10,7,Takuma Sato,BAR Honda,1:25.851,6
4,8,Ralf Schumacher,Williams BMW,1:25.925,6
7,9,Jarno Trulli,Renault,1:26.290,6
6,10,Kimi Räikkönen,McLaren Mercedes,1:26.297,6
12,11,Felipe Massa,Sauber Petronas,1:27.065,6
5,12,David Coulthard,McLaren Mercedes,1:27.294,6
16,13,Cristiano da Matta,Toyota,1:27.823,6
11,14,Giancarlo Fisichella,Sauber Petronas,1:27.845,6
18,15,Nick Heidfeld,Jordan Ford,1:28.178,6
19,16,Giorgio Pantano,Jordan Ford,1:30.140,6
21,17,Zsolt Baumgartner,Minardi Cosworth,1:30.681,6
17,18,Olivier Panis,Toyota,1:27.253,3
15,19,Christian Klien,Jaguar Cosworth,1:27.258,4
20,20,Gianmaria Bruni,Minardi Cosworth,1:30.912,3
