,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:25.093,13
3,2,Juan Pablo Montoya,Williams BMW,+0.162s,9
4,3,Ralf Schumacher,Williams BMW,+0.535s,9
2,4,Rubens Barrichello,Ferrari,+0.556s,12
8,5,Fernando Alonso,Renault,+0.815s,11
17,6,Olivier Panis,Toyota,+0.823s,14
7,7,Jarno Trulli,Renault,+0.834s,9
14,8,Mark Webber,Jaguar Cosworth,+0.973s,11
6,9,Kimi Räikkönen,McLaren Mercedes,+1.034s,8
5,10,David Coulthard,McLaren Mercedes,+1.040s,11
9,11,Jenson Button,BAR Honda,+1.310s,14
16,12,Cristiano da Matta,Toyota,+1.504s,17
15,13,Christian Klien,Jaguar Cosworth,+1.995s,14
12,14,Felipe Massa,Sauber Petronas,+2.079s,13
11,15,Giancarlo Fisichella,Sauber Petronas,+2.102s,12
10,16,Takuma Sato,BAR Honda,+2.499s,9
18,17,Nick Heidfeld,Jordan Ford,+2.662s,14
19,18,Giorgio Pantano,Jordan Ford,+3.732s,12
20,19,Gianmaria Bruni,Minardi Cosworth,+5.403s,16
21,20,Zsolt Baumgartner,Minardi Cosworth,+6.670s,13
