,Position,Driver,Car,Time
6,1,Ronnie Peterson,Lotus Ford,1:37.710
5,2,Mario Andretti,Lotus Ford,1:37.760
15,3,Jean-Pierre Jabouille,Renault,1:38.320
11,4,Carlos Reutemann,Ferrari,1:38.500
26,5,Jacques Laffite,Ligier Matra,1:38.710
14,6,Emerson Fittipaldi,Fittipaldi Ford,1:38.770
20,7,Jody Scheckter,Wolf Ford,1:38.850
7,8,James Hunt,McLaren Ford,1:39.100
3,9,Didier Pironi,Tyrrell Ford,1:39.230
2,10,John Watson,Brabham Alfa Romeo,1:39.350
12,11,Gilles Villeneuve,Ferrari,1:39.400
1,12,Niki Lauda,Brabham Alfa Romeo,1:39.490
4,13,Patrick Depailler,Tyrrell Ford,1:39.510
8,14,Patrick Tambay,McLaren Ford,1:39.590
27,15,Alan  Jones,Williams Ford,1:39.810
35,16,Riccardo Patrese,Arrows Ford,1:40.110
30,17,Brett Lunger,McLaren Ford,1:40.800
25,18,Hector Rebaque,Lotus Ford,1:40.840
22,19,Derek Daly,Ensign Ford,1:41.020
29,20,Nelson Piquet,McLaren Ford,1:41.150
19,21,Vittorio Brambilla,Surtees Ford,1:41.160
17,22,Clay Regazzoni,Shadow Ford,1:41.420
16,23,Hans-Joachim Stuck,Shadow Ford,1:41.580
23,24,Harald Ertl,Ensign Ford,1:41.600
32,25,Keke Rosberg,Wolf Ford,1:41.720
31,26,Rene Arnoux,Martini Ford,1:41.840
