,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Mika Hakkinen,McLaren Mercedes,39,1:12.107,215.629
17,2,Johnny Herbert,Stewart Ford,67,1:12.641,214.044
4,3,Eddie Irvine,Ferrari,43,1:12.787,213.615
2,4,David Coulthard,McLaren Mercedes,69,1:12.855,213.415
12,5,Pedro Diniz,Sauber Petronas,49,1:13.093,212.720
8,6,Heinz-Harald Frentzen,Jordan Mugen Honda,42,1:13.176,212.479
11,7,Jean Alesi,Sauber Petronas,47,1:13.228,212.328
16,8,Rubens Barrichello,Stewart Ford,36,1:13.278,212.183
18,9,Olivier Panis,Prost Peugeot,67,1:13.465,211.643
3,10,Mika Salo,Ferrari,67,1:13.481,211.597
9,11,Giancarlo Fisichella,Benetton Playlife,41,1:13.579,211.315
10,12,Alexander Wurz,Benetton Playlife,42,1:13.654,211.100
7,13,Damon Hill,Jordan Mugen Honda,63,1:13.960,210.227
22,14,Jacques Villeneuve,BAR Supertec,33,1:13.977,210.178
23,15,Ricardo Zonta,BAR Supertec,36,1:14.063,209.934
19,16,Jarno Trulli,Prost Peugeot,37,1:14.112,209.795
5,17,Alessandro Zanardi,Williams Supertec,31,1:14.381,209.037
21,18,Marc Gene,Minardi Ford,34,1:14.517,208.655
20,19,Luca Badoer,Minardi Ford,63,1:14.622,208.362
14,20,Pedro de la Rosa,Arrows,29,1:14.914,207.549
15,21,Toranosuke Takagi,Arrows,25,1:15.361,206.318
6,22,Ralf Schumacher,Williams Supertec,8,1:16.173,204.119
