,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:10.954,10
2,2,David Coulthard,McLaren Mercedes,1:11.153,12
4,3,Eddie Irvine,Ferrari,1:11.973,12
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,1:12.266,12
16,5,Rubens Barrichello,Stewart Ford,1:12.342,12
17,6,Johnny Herbert,Stewart Ford,1:12.488,12
3,7,Mika Salo,Ferrari,1:12.514,12
6,8,Ralf Schumacher,Williams Supertec,1:12.515,10
22,9,Jacques Villeneuve,BAR Supertec,1:12.833,11
10,10,Alexander Wurz,Benetton Playlife,1:12.850,12
7,11,Damon Hill,Jordan Mugen Honda,1:12.901,11
9,12,Giancarlo Fisichella,Benetton Playlife,1:12.924,11
19,13,Jarno Trulli,Prost Peugeot,1:12.999,11
5,14,Alessandro Zanardi,Williams Supertec,1:13.101,12
23,15,Ricardo Zonta,BAR Supertec,1:13.172,12
12,16,Pedro Diniz,Sauber Petronas,1:13.223,12
11,17,Jean Alesi,Sauber Petronas,1:13.226,11
18,18,Olivier Panis,Prost Peugeot,1:13.457,12
20,19,Luca Badoer,Minardi Ford,1:13.606,12
15,20,Toranosuke Takagi,Arrows,1:13.641,12
14,21,Pedro de la Rosa,Arrows,1:14.139,11
21,22,Marc Gene,Minardi Ford,1:14.363,10
