,Position,Driver,Car,Laps,Time,Points
1,1,Mika Hakkinen,McLaren Mercedes,71,1:28:15.818,10
2,2,David Coulthard,McLaren Mercedes,71,+12.535s,6
4,3,Rubens Barrichello,Ferrari,71,+30.795s,4
22,4,Jacques Villeneuve,BAR Honda,70,+1 lap,3
10,5,Jenson Button,Williams BMW,70,+1 lap,2
17,6,Mika Salo,Sauber Petronas,70,+1 lap,1
8,7,Johnny Herbert,Jaguar Cosworth,70,+1 lap,0
20,8,Marc Gene,Minardi Fondmetal,70,+1 lap,0
16,9,Pedro Diniz,Sauber Petronas,70,+1 lap,0
12,10,Alexander Wurz,Benetton Playlife,70,+1 lap,0
7,11,Luciano Burti,Jaguar Cosworth,69,+2 laps,0
21,12,Gaston Mazzacane,Minardi Fondmetal,68,+3 laps,0
23,NC,Ricardo Zonta,BAR Honda,58,DNF,0
9,NC,Ralf Schumacher,Williams BMW,52,DNF,0
15,NC,Nick Heidfeld,Prost Peugeot,41,DNF,0
14,NC,Jean Alesi,Prost Peugeot,41,DNF,0
18,NC,Pedro de la Rosa,Arrows Supertec,32,DNF,0
19,NC,Jos Verstappen,Arrows Supertec,14,DNF,0
5,NC,Heinz-Harald Frentzen,Jordan Mugen Honda,4,DNF,0
3,NC,Michael Schumacher,Ferrari,0,DNF,0
6,NC,Jarno Trulli,Jordan Mugen Honda,0,DNF,0
11,NC,Giancarlo Fisichella,Benetton Playlife,0,DNF,0
