,Position,Driver,Car,Time / Gap,Laps
2,1,Rubens Barrichello,Ferrari,1:09.241,45
3,2,Juan Pablo Montoya,Williams BMW,+0.060s,37
1,3,Michael Schumacher,Ferrari,+0.090s,36
4,4,Ralf Schumacher,Williams BMW,+0.177s,41
7,5,Jarno Trulli,Renault,+0.463s,52
16,6,Jacques Villeneuve,BAR Honda,+0.467s,47
6,7,Kimi Räikkönen,McLaren Mercedes,+0.629s,34
14,8,Mark Webber,Jaguar Cosworth,+0.650s,43
8,9,Fernando Alonso,Renault,+0.682s,46
11,10,Giancarlo Fisichella,Jordan Ford,+0.777s,28
9,11,Nick Heidfeld,Sauber Petronas,+0.803s,40
15,12,Antonio Pizzonia,Jaguar Cosworth,+0.816s,38
20,13,Olivier Panis,Toyota,+0.835s,39
17,14,Jenson Button,BAR Honda,+0.971s,34
5,15,David Coulthard,McLaren Mercedes,+0.981s,38
21,16,Cristiano da Matta,Toyota,+1.129s,39
10,17,Heinz-Harald Frentzen,Sauber Petronas,+1.215s,40
12,18,Ralph Firman,Jordan Ford,+2.172s,36
19,19,Jos Verstappen,Minardi Cosworth,+2.305s,22
18,20,Justin Wilson,Minardi Cosworth,+2.695s,31
