,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
7,1,Kimi Räikkönen,Ferrari,71,1:06.957,232.160,16:34:41
5,2,Sebastian Vettel,Ferrari,67,1:07.082,231.728,16:30:13
44,3,Lewis Hamilton,Mercedes,58,1:07.241,231.180,16:20:26
33,4,Max Verstappen,Red Bull Racing TAG Heuer,70,1:07.442,230.491,16:33:31
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,46,1:07.591,229.983,16:06:48
9,6,Marcus Ericsson,Sauber Ferrari,67,1:08.216,227.876,16:32:04
20,7,Kevin Magnussen,Haas Ferrari,70,1:08.476,227.010,16:35:02
11,8,Sergio Perez,Force India Mercedes,66,1:08.504,226.918,16:30:30
14,9,Fernando Alonso,McLaren Renault,69,1:08.661,226.399,16:34:20
55,10,Carlos Sainz,Renault,37,1:08.766,226.053,15:57:27
31,11,Esteban Ocon,Force India Mercedes,64,1:08.850,225.777,16:28:16
2,12,Stoffel Vandoorne,McLaren Renault,63,1:08.894,225.633,16:28:58
35,13,Sergey Sirotkin,Williams Mercedes,64,1:08.971,225.381,16:29:27
16,14,Charles Leclerc,Sauber Ferrari,68,1:09.006,225.267,16:33:15
77,15,Valtteri Bottas,Mercedes,12,1:09.044,225.143,15:26:40
8,16,Romain Grosjean,Haas Ferrari,17,1:09.071,225.055,15:33:30
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,42,1:09.171,224.730,16:02:57
18,18,Lance Stroll,Williams Mercedes,68,1:09.203,224.626,16:33:58
10,19,Pierre Gasly,Scuderia Toro Rosso Honda,38,1:09.295,224.327,15:58:15
27,20,Nico Hulkenberg,Renault,7,1:10.380,220.869,15:21:07
