,Position,Driver,Car,Q1,Q2,Q3,Laps
16,1,Charles Leclerc,Ferrari,1:04.138,1:03.378,1:03.003,19
44,2,Lewis Hamilton,Mercedes,1:03.818,1:03.803,1:03.262,27
33,3,Max Verstappen,Red Bull Racing Honda,1:03.807,1:03.835,1:03.439,18
77,4,Valtteri Bottas,Mercedes,1:04.084,1:03.863,1:03.537,25
20,5,Kevin Magnussen,Haas Ferrari,1:04.778,1:04.466,1:04.072,20
4,6,Lando Norris,McLaren Renault,1:04.361,1:04.211,1:04.099,19
7,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:04.615,1:04.056,1:04.166,23
99,8,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:04.450,1:04.194,1:04.179,22
10,9,Pierre Gasly,Red Bull Racing Honda,1:04.412,1:03.988,1:04.199,18
5,10,Sebastian Vettel,Ferrari,1:04.340,1:03.667,,9
8,11,Romain Grosjean,Haas Ferrari,1:04.552,1:04.490,,18
27,12,Nico Hulkenberg,Renault,1:04.733,1:04.516,,12
23,13,Alexander Albon,Scuderia Toro Rosso Honda,1:04.708,1:04.665,,15
3,14,Daniel Ricciardo,Renault,1:04.647,1:04.790,,12
55,15,Carlos Sainz,McLaren Renault,1:04.453,1:13.601,,12
11,16,Sergio Perez,Racing Point BWT Mercedes,1:04.789,,,8
18,17,Lance Stroll,Racing Point BWT Mercedes,1:04.832,,,9
26,18,Daniil Kvyat,Scuderia Toro Rosso Honda,1:05.324,,,8
63,19,George Russell,Williams Mercedes,1:05.904,,,12
88,20,Robert Kubica,Williams Mercedes,1:06.206,,,11
