,Position,Driver,Car,Laps,Time,Points
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,51,2:03:55.573,25
77,2,Valtteri Bottas,Mercedes,51,+3.904s,18
18,3,Lance Stroll,Williams Mercedes,51,+4.009s,15
5,4,Sebastian Vettel,Ferrari,51,+5.976s,12
44,5,Lewis Hamilton,Mercedes,51,+6.188s,10
31,6,Esteban Ocon,Force India Mercedes,51,+30.298s,8
20,7,Kevin Magnussen,Haas Ferrari,51,+41.753s,6
55,8,Carlos Sainz,Toro Rosso,51,+49.400s,4
14,9,Fernando Alonso,McLaren Honda,51,+59.551s,2
94,10,Pascal Wehrlein,Sauber Ferrari,51,+89.093s,1
9,11,Marcus Ericsson,Sauber Ferrari,51,+91.794s,0
2,12,Stoffel Vandoorne,McLaren Honda,51,+92.160s,0
8,13,Romain Grosjean,Haas Ferrari,50,+1 lap,0
7,14,Kimi Räikkönen,Ferrari,46,DNF,0
11,NC,Sergio Perez,Force India Mercedes,39,DNF,0
19,NC,Felipe Massa,Williams Mercedes,25,DNF,0
27,NC,Nico Hulkenberg,Renault,24,DNF,0
33,NC,Max Verstappen,Red Bull Racing TAG Heuer,12,DNF,0
26,NC,Daniil Kvyat,Toro Rosso,9,DNF,0
30,NC,Jolyon Palmer,Renault,7,DNF,0
