,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:40.593
77,2,Valtteri Bottas,Mercedes,1:41.027
7,3,Kimi Räikkönen,Ferrari,1:41.693
5,4,Sebastian Vettel,Ferrari,1:41.841
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:41.879
11,6,Sergio Perez,Force India Mercedes,1:42.111
31,7,Esteban Ocon,Force India Mercedes,1:42.186
18,8,Lance Stroll,Williams Mercedes,1:42.753
19,9,Felipe Massa,Williams Mercedes,1:42.798
3,10,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:43.414
26,11,Daniil Kvyat,Toro Rosso,1:43.186
20,12,Kevin Magnussen,Haas Ferrari,1:43.796
27,13,Nico Hulkenberg,Renault,1:44.267
94,14,Pascal Wehrlein,Sauber Ferrari,1:44.603
55,15,Carlos Sainz,Toro Rosso,1:43.347
8,16,Romain Grosjean,Haas Ferrari,1:44.468
9,17,Marcus Ericsson,Sauber Ferrari,1:44.795
2,18,Stoffel Vandoorne,McLaren Honda,1:45.030
14,19,Fernando Alonso,McLaren Honda,1:44.334
30,20,Jolyon Palmer,Renault,
