,Position,Driver,Car,Q1,Q2,Q3,Laps
16,1,Charles Leclerc,Ferrari,1:42.865,1:42.046,1:41.359,19
11,2,Sergio Perez,Red Bull Racing RBPT,1:42.733,1:41.955,1:41.641,18
1,3,Max Verstappen,Red Bull Racing RBPT,1:42.722,1:42.227,1:41.706,19
55,4,Carlos Sainz,Ferrari,1:42.957,1:42.088,1:41.814,19
63,5,George Russell,Mercedes,1:43.754,1:43.281,1:42.712,23
10,6,Pierre Gasly,AlphaTauri RBPT,1:43.268,1:43.129,1:42.845,23
44,7,Lewis Hamilton,Mercedes,1:43.939,1:43.182,1:42.924,22
22,8,Yuki Tsunoda,AlphaTauri RBPT,1:43.595,1:43.376,1:43.056,22
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:43.279,1:43.268,1:43.091,18
14,10,Fernando Alonso,Alpine Renault,1:44.083,1:43.360,1:43.173,20
4,11,Lando Norris,McLaren Mercedes,1:44.237,1:43.398,,16
3,12,Daniel Ricciardo,McLaren Mercedes,1:44.437,1:43.574,,17
31,13,Esteban Ocon,Alpine Renault,1:43.903,1:43.585,,13
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:43.777,1:43.790,,13
77,15,Valtteri Bottas,Alfa Romeo Ferrari,1:44.478,1:44.444,,13
20,16,Kevin Magnussen,Haas Ferrari,1:44.643,,,9
23,17,Alexander Albon,Williams Mercedes,1:44.719,,,9
6,18,Nicholas Latifi,Williams Mercedes,1:45.367,,,8
18,19,Lance Stroll,Aston Martin Aramco Mercedes,1:45.371,,,7
47,20,Mick Schumacher,Haas Ferrari,1:45.775,,,9
