,Position,Driver,Car,Time / Gap,Laps
35,1,Alexander Wurz,McLaren Mercedes,1:30.695,20
5,2,Fernando Alonso,Renault,+1.274s,24
37,3,Vitantonio Liuzzi,RBR Cosworth,+1.624s,30
10,4,Pedro de la Rosa,McLaren Mercedes,+1.638s,13
1,5,Michael Schumacher,Ferrari,+1.736s,16
16,6,Jarno Trulli,Toyota,+1.900s,22
6,7,Giancarlo Fisichella,Renault,+2.013s,24
9,8,Kimi Räikkönen,McLaren Mercedes,+2.293s,18
3,9,Jenson Button,BAR Honda,+2.342s,23
17,10,Ralf Schumacher,Toyota,+2.382s,19
8,11,Nick Heidfeld,Williams BMW,+2.457s,20
4,12,Takuma Sato,BAR Honda,+2.510s,13
15,13,Christian Klien,RBR Cosworth,+2.741s,25
38,14,Ricardo Zonta,Toyota,+2.748s,11
7,15,Mark Webber,Williams BMW,+2.868s,16
14,16,David Coulthard,RBR Cosworth,+3.013s,21
12,17,Felipe Massa,Sauber Petronas,+3.031s,18
19,18,Narain Karthikeyan,Jordan Toyota,+3.286s,16
39,19,Robert Doornbos,Jordan Toyota,+3.527s,26
11,20,Jacques Villeneuve,Sauber Petronas,+3.605s,19
18,21,Tiago Monteiro,Jordan Toyota,+4.032s,18
20,22,Patrick Friesacher ,Minardi Cosworth,+4.630s,21
21,23,Christijan Albers,Minardi Cosworth,+5.399s,22
