,Position,Driver,Car,Time
4,1,Robert Kubica,Sauber BMW,1:33.096
2,2,Felipe Massa,Ferrari,1:33.123
22,3,Lewis Hamilton,McLaren Mercedes,1:33.292
1,4,Kimi Räikkönen,Ferrari,1:33.418
23,5,Heikki Kovalainen,McLaren Mercedes,1:33.488
3,6,Nick Heidfeld,Sauber BMW,1:33.737
11,7,Jarno Trulli,Toyota,1:33.994
7,8,Nico Rosberg,Williams Toyota,1:34.015
16,9,Jenson Button,Honda,1:35.057
5,10,Fernando Alonso,Renault,1:35.115
10,11,Mark Webber,Red Bull Renault,1:32.371
17,12,Rubens Barrichello,Honda,1:32.508
12,13,Timo Glock,Toyota,1:32.528
6,14,Nelson Piquet,Renault,1:32.790
14,15,Sebastien Bourdais,STR Ferrari,1:32.915
8,16,Kazuki Nakajima,Williams Toyota,1:32.943
9,17,David Coulthard,Red Bull Renault,1:33.433
21,18,Giancarlo Fisichella,Force India Ferrari,1:33.501
15,19,Sebastian Vettel,STR Ferrari,1:33.562
20,20,Adrian Sutil,Force India Ferrari,1:33.845
19,21,Anthony Davidson,Super Aguri Honda,1:34.140
18,22,Takuma Sato,Super Aguri Honda,1:35.725
