,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:36.961,200.938
15,2,Adrian Sutil,Force India Mercedes,44,1:37.070,200.712
3,3,Fernando Alonso,Ferrari,41,1:37.204,200.436
9,4,Nico Rosberg,Mercedes,48,1:37.588,199.647
8,5,Romain Grosjean,Lotus Renault,52,1:37.627,199.567
5,6,Jenson Button,McLaren Mercedes,49,1:37.743,199.330
6,7,Sergio Perez,McLaren Mercedes,41,1:37.913,198.984
7,8,Kimi Räikkönen,Lotus Renault,57,1:38.164,198.476
17,9,Valtteri Bottas,Williams Renault,57,1:38.192,198.419
12,10,Esteban Gutierrez ,Sauber Ferrari,45,1:38.202,198.399
10,11,Lewis Hamilton,Mercedes,48,1:38.204,198.395
14,12,Paul di Resta,Force India Mercedes,57,1:38.336,198.128
2,13,Mark Webber,Red Bull Racing Renault,52,1:38.557,197.684
22,14,Jules Bianchi,Marussia Cosworth,50,1:38.756,197.286
11,15,Nico Hulkenberg,Sauber Ferrari,43,1:38.770,197.258
4,16,Felipe Massa,Ferrari,42,1:38.839,197.120
16,17,Pastor Maldonado,Williams Renault,57,1:38.962,196.875
23,18,Max Chilton,Marussia Cosworth,50,1:39.279,196.246
21,19,Giedo van der Garde,Caterham Renault,49,1:39.334,196.138
20,20,Charles Pic,Caterham Renault,37,1:39.546,195.720
19,21,Daniel Ricciardo,STR Ferrari,51,1:39.579,195.655
18,22,Jean-Eric Vergne,STR Ferrari,4,1:43.107,188.960
