,Position,Driver,Car,Laps,Time,Points
5,1,Sebastian Vettel,Ferrari,57,1:32:01.940,25
77,2,Valtteri Bottas,Mercedes,57,+0.699s,18
44,3,Lewis Hamilton,Mercedes,57,+6.512s,15
10,4,Pierre Gasly,Scuderia Toro Rosso Honda,57,+62.234s,12
20,5,Kevin Magnussen,Haas Ferrari,57,+75.046s,10
27,6,Nico Hulkenberg,Renault,57,+99.024s,8
14,7,Fernando Alonso,McLaren Renault,56,+1 lap,6
2,8,Stoffel Vandoorne,McLaren Renault,56,+1 lap,4
9,9,Marcus Ericsson,Sauber Ferrari,56,+1 lap,2
31,10,Esteban Ocon,Force India Mercedes,56,+1 lap,1
55,11,Carlos Sainz,Renault,56,+1 lap,0
16,12,Charles Leclerc,Sauber Ferrari,56,+1 lap,0
8,13,Romain Grosjean,Haas Ferrari,56,+1 lap,0
18,14,Lance Stroll,Williams Mercedes,56,+1 lap,0
35,15,Sergey Sirotkin,Williams Mercedes,56,+1 lap,0
11,16,Sergio Perez,Force India Mercedes,56,+1 lap,0
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,56,+1 lap,0
7,NC,Kimi Räikkönen,Ferrari,35,DNF,0
33,NC,Max Verstappen,Red Bull Racing TAG Heuer,3,DNF,0
3,NC,Daniel Ricciardo,Red Bull Racing TAG Heuer,1,DNF,0
