,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:28.343,1:27.586,1:27.264,16
77,2,Valtteri Bottas,Mercedes,1:28.767,1:28.063,1:27.553,16
33,3,Max Verstappen,Red Bull Racing Honda,1:28.885,1:28.025,1:27.678,15
23,4,Alexander Albon,Red Bull Racing Honda,1:28.732,1:28.749,1:28.274,18
11,5,Sergio Perez,Racing Point BWT Mercedes,1:29.178,1:28.894,1:28.322,20
3,6,Daniel Ricciardo,Renault,1:29.005,1:28.648,1:28.417,17
31,7,Esteban Ocon,Renault,1:29.203,1:28.937,1:28.419,14
10,8,Pierre Gasly,AlphaTauri Honda,1:28.971,1:29.008,1:28.448,14
4,9,Lando Norris,McLaren Renault,1:29.464,1:28.877,1:28.542,17
26,10,Daniil Kvyat,AlphaTauri Honda,1:29.158,1:28.944,1:28.618,17
5,11,Sebastian Vettel,Ferrari,1:29.142,1:29.149,,11
16,12,Charles Leclerc,Ferrari,1:29.137,1:29.165,,11
18,13,Lance Stroll,Racing Point BWT Mercedes,1:28.679,1:29.557,,11
63,14,George Russell,Williams Mercedes,1:29.294,1:31.218,,11
55,15,Carlos Sainz,McLaren Renault,1:28.975,DNF,,5
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:29.491,,,6
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:29.810,,,6
20,18,Kevin Magnussen,Haas Ferrari,1:30.111,,,6
8,19,Romain Grosjean,Haas Ferrari,1:30.138,,,6
6,20,Nicholas Latifi,Williams Mercedes,1:30.182,,,6
