,Position,Driver,Car,Laps,Time,Points
10,1,Alberto Ascari,Ferrari,36,2:48:30.300,8
8,2,Luigi  Villoresi,Ferrari,36,+158.200s,6
6,NC,Juan Manuel Fangio,Maserati,35,DNF,0
28,3,Onofre Marimon,Maserati,35,+1 lap,4
30,4,Toulo de Graffenried,Maserati,35,+1 lap,3
18,5,Maurice  Trintignant,Gordini,35,+1 lap,2
14,6,Mike Hawthorn,Ferrari,35,+1 lap,0
20,7,Harry Schell,Gordini,33,+3 laps,0
32,8,Louis  Rosier,Ferrari,33,+3 laps,0
38,9,Fred Wacker,Gordini,32,+4 laps,0
24,10,Paul Frere,HWM Alta,30,+6 laps,0
40,11,Andre Pilette,Connaught Lea Francis,29,+7 laps,0
22,NC,Lance Macklin,HWM Alta,19,DNF,0
12,NC,Nino Farina,Ferrari,16,DNF,0
4,NC,Juan Manuel Fangio,Maserati,13,DNF,0
2,NC,Jose Froilan Gonzalez,Maserati,11,DNF,1
16,NC,Jean Behra,Gordini,9,DNF,0
26,NC,Peter Collins,HWM Alta,4,DNF,0
34,NC,Georges Berger,Simca-Gordini,3,DNF,0
36,NC,Arthur Legat,Veritas,0,DNF,0
