,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,2:14.444
28,2,Gerhard Berger,Ferrari,+1.123s
15,3,Mauricio Gugelmin,March Judd,+1.213s
16,4,Ivan Capelli,March Judd,+1.329s
27,5,Michele Alboreto,Ferrari,+1.445s
5,6,Martin Brundle,Williams Judd,+1.728s
36,7,Alex Caffi,Dallara Ford,+1.970s
11,8,Alain Prost,McLaren Honda,+2.117s
1,9,Nelson Piquet,Lotus Honda,+2.323s
6,10,Riccardo Patrese,Williams Judd,+2.359s
19,11,Alessandro Nannini,Benetton Ford,+3.280s
14,12,Philippe Streiff,AGS Ford,+3.626s
2,13,Satoru Nakajima,Lotus Honda,+3.948s
20,14,Thierry Boutsen,Benetton Ford,+3.987s
22,15,Andrea de Cesaris,Rial Ford,+4.028s
21,16,Nicola Larini,Osella,+4.501s
23,17,Pierluigi Martini,Minardi Ford,+4.546s
4,18,Julian Bailey,Tyrrell Ford,+4.899s
18,19,Eddie  Cheever,Arrows Megatron,+5.034s
3,20,Jonathan  Palmer,Tyrrell Ford,+5.179s
10,21,Bernd Schneider,Zakspeed,+5.716s
30,22,Philippe Alliot,Lola Ford,+6.620s
26,23,Stefan Johansson,Ligier Judd,+7.338s
33,24,Stefano Modena,Euro Brun Ford,+7.651s
25,25,Rene Arnoux,Ligier Judd,+8.018s
17,26,Derek Warwick,Arrows Megatron,+8.285s
24,27,Luis Perez-Sala,Minardi Ford,+8.785s
29,28,Yannick Dalmas,Lola Ford,+12.030s
31,29,Gabriele Tarquini,Coloni Ford,+13.453s
