,Position,Driver,Car,Time,Laps
7,1,Jarno Trulli,Renault,1:56.232,6
1,2,Michael Schumacher,Ferrari,1:56.304,6
8,3,Fernando Alonso,Renault,1:56.686,6
5,4,David Coulthard,McLaren Mercedes,1:57.990,6
11,5,Giancarlo Fisichella,Sauber Petronas,1:58.040,6
2,6,Rubens Barrichello,Ferrari,1:58.175,6
14,7,Mark Webber,Jaguar Cosworth,1:58.729,6
12,8,Felipe Massa,Sauber Petronas,1:59.008,6
17,9,Olivier Panis,Toyota,1:59.552,6
6,10,Kimi Räikkönen,McLaren Mercedes,1:59.635,6
3,11,Juan Pablo Montoya,Williams BMW,1:59.681,6
9,12,Jenson Button,BAR Honda,2:00.237,6
15,13,Christian Klien,Jaguar Cosworth,2:01.246,6
4,14,Antonio Pizzonia,Williams BMW,2:01.447,6
10,15,Takuma Sato,BAR Honda,2:01.813,6
18,16,Nick Heidfeld,Jordan Ford,2:02.645,6
20,17,Gianmaria Bruni,Minardi Cosworth,2:02.651,6
21,18,Zsolt Baumgartner,Minardi Cosworth,2:03.303,6
19,19,Giorgio Pantano,Jordan Ford,2:03.833,6
16,20,Ricardo Zonta,Toyota,2:03.895,5
