,Position,Driver,Car,Time / Gap,Laps
3,1,Nick Heidfeld,Sauber BMW,1:47.876,19
23,2,Heikki Kovalainen,McLaren Mercedes,+0.289s,10
5,3,Fernando Alonso,Renault,+0.431s,19
22,4,Lewis Hamilton,McLaren Mercedes,+0.480s,10
2,5,Felipe Massa,Ferrari,+0.816s,6
15,6,Sebastian Vettel,STR Ferrari,+0.892s,16
1,7,Kimi Räikkönen,Ferrari,+0.939s,10
7,8,Nico Rosberg,Williams Toyota,+0.960s,13
6,9,Nelson Piquet,Renault,+1.070s,17
10,10,Mark Webber,Red Bull Renault,+1.178s,14
11,11,Jarno Trulli,Toyota,+1.181s,16
9,12,David Coulthard,Red Bull Renault,+1.249s,11
4,13,Robert Kubica,Sauber BMW,+1.374s,12
14,14,Sebastien Bourdais,STR Ferrari,+1.380s,19
12,15,Timo Glock,Toyota,+1.659s,18
8,16,Kazuki Nakajima,Williams Toyota,+1.954s,12
21,17,Giancarlo Fisichella,Force India Ferrari,+2.073s,16
20,18,Adrian Sutil,Force India Ferrari,+2.158s,16
17,19,Rubens Barrichello,Honda,+2.185s,17
16,20,Jenson Button,Honda,,1
