,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Mark Webber,RBR Renault,1:57.352,1:47.253,1:45.778,21
2,2,Lewis Hamilton,McLaren Mercedes,1:56.706,1:46.211,1:45.863,18
11,3,Robert Kubica,Renault,1:56.041,1:47.320,1:46.100,19
5,4,Sebastian Vettel,RBR Renault,1:58.487,1:47.245,1:46.127,23
1,5,Jenson Button,McLaren Mercedes,1:57.981,1:46.790,1:46.206,18
7,6,Felipe Massa,Ferrari,1:58.323,1:47.322,1:46.314,20
9,7,Rubens Barrichello,Williams Cosworth,1:55.757,1:47.797,1:46.602,19
14,8,Adrian Sutil,Force India Mercedes,1:58.730,1:47.292,1:46.659,18
10,9,Nico Hulkenberg,Williams Cosworth,1:55.442,1:47.821,1:47.053,20
8,10,Fernando Alonso,Ferrari,1:57.023,1:47.544,1:47.441,21
3,11,Michael Schumacher,Mercedes,1:56.313,1:47.874,,16
4,12,Nico Rosberg,Mercedes,1:54.826,1:47.885,,16
17,13,Jaime Alguersuari,STR Ferrari,1:58.944,1:48.267,,17
15,14,Vitantonio Liuzzi,Force India Mercedes,2:01.102,1:48.680,,14
16,15,Sebastien Buemi,STR Ferrari,2:00.386,1:49.209,,16
19,16,Heikki Kovalainen,Lotus Cosworth,2:01.343,1:50.980,,12
24,17,Timo Glock,Virgin Cosworth,2:01.316,1:52.049,,16
18,18,Jarno Trulli,Lotus Cosworth,2:01.491,,,9
23,19,Kamui Kobayashi,Sauber Ferrari,2:02.284,,,6
21,20,Bruno Senna,HRT Cosworth,2:03.612,,,7
20,21,Sakon Yamamoto,HRT Cosworth,2:03.941,,,8
22,22,Pedro de la Rosa,Sauber Ferrari,2:05.294,,,6
25,23,Lucas di Grassi,Virgin Cosworth,2:18.754,,,5
12,24,Vitaly Petrov,Renault,DNS,,,1
