,Position,Driver,Car,Lap,Time,Avg Speed
19,1,Bruno Senna,Williams Renault,43,1:52.822,223.488
8,2,Nico Rosberg,Mercedes,39,1:53.073,222.992
6,3,Felipe Massa,Ferrari,30,1:53.464,222.223
7,4,Michael Schumacher,Mercedes,37,1:53.507,222.139
9,5,Kimi Räikkönen,Lotus Renault,34,1:53.640,221.879
12,6,Nico Hulkenberg,Force India Mercedes,40,1:53.760,221.645
2,7,Mark Webber,Red Bull Racing Renault,42,1:53.768,221.629
17,8,Jean-Eric Vergne,STR Ferrari,31,1:53.995,221.188
1,9,Sebastian Vettel,Red Bull Racing Renault,39,1:54.198,220.795
3,10,Jenson Button,McLaren Mercedes,40,1:54.293,220.611
11,11,Paul di Resta,Force India Mercedes,28,1:54.562,220.093
16,12,Daniel Ricciardo,STR Ferrari,42,1:54.605,220.011
14,13,Kamui Kobayashi,Sauber Ferrari,26,1:55.598,218.121
20,14,Heikki Kovalainen,Caterham Renault,33,1:56.475,216.479
21,15,Vitaly Petrov,Caterham Renault,28,1:56.741,215.985
24,16,Timo Glock,Marussia Cosworth,30,1:56.956,215.588
22,17,Pedro de la Rosa,HRT Cosworth,30,1:57.315,214.929
25,18,Charles Pic,Marussia Cosworth,27,1:57.939,213.791
23,19,Narain Karthikeyan,HRT Cosworth,16,1:59.113,211.684
18,20,Pastor Maldonado,Williams Renault,4,2:56.181,143.116
