,Position,Driver,Car,Time
55,1,Carlos Sainz,Ferrari,1:44.297
11,2,Sergio Perez,Red Bull Racing RBPT,1:44.462
14,3,Fernando Alonso,Alpine Renault,1:45.368
44,4,Lewis Hamilton,Mercedes,1:45.503
63,5,George Russell,Mercedes,1:45.776
23,6,Alexander Albon,Williams Mercedes,1:45.837
3,7,Daniel Ricciardo,McLaren Mercedes,1:45.767
10,8,Pierre Gasly,AlphaTauri RBPT,1:45.827
18,9,Lance Stroll,Aston Martin Aramco Mercedes,1:46.611
5,10,Sebastian Vettel,Aston Martin Aramco Mercedes,1:46.344
6,11,Nicholas Latifi,Williams Mercedes,1:46.401
20,12,Kevin Magnussen,Haas Ferrari,1:46.557
77,13,Valtteri Bottas,Alfa Romeo Ferrari,1:47.866
1,14,Max Verstappen,Red Bull Racing RBPT,1:43.665
16,15,Charles Leclerc,Ferrari,1:44.553
31,16,Esteban Ocon,Alpine Renault,1:45.180
4,17,Lando Norris,McLaren Mercedes,1:46.178
24,18,Guanyu Zhou,Alfa Romeo Ferrari,1:46.085
47,19,Mick Schumacher,Haas Ferrari,1:47.718
22,20,Yuki Tsunoda,AlphaTauri RBPT,1:46.692
