,Position,Driver,Car,Time
29,1,Bertrand Gachot,Venturi Lamborghini,1:22.161
5,1,Nigel Mansell,Williams Renault,1:15.703
6,2,Riccardo Patrese,Williams Renault,1:16.894
9,2,Michele Alboreto,Footwork Mugen Honda,1:22.346
1,3,Ayrton Senna,McLaren Honda,1:17.902
14,3,Andrea Chiesa,Fondmetal Ford,1:22.860
2,4,Gerhard Berger,McLaren Honda,1:18.416
30,4,Ukyo Katayama,Venturi Lamborghini,1:23.272
19,5,Michael Schumacher,Benetton Ford,1:18.541
34,5,Roberto Moreno,Moda Judd,1:38.569
27,6,Jean Alesi,Ferrari,1:18.647
20,7,Martin Brundle,Benetton Ford,1:18.711
22,8,Pierluigi Martini,Dallara Ferrari,1:18.953
16,9,Karl Wendlinger,March Ilmor,1:19.007
25,10,Thierry Boutsen,Ligier Renault,1:19.038
28,11,Ivan Capelli,Ferrari,1:19.300
32,12,Stefano Modena,Jordan Yamaha,1:19.314
4,13,Andrea de Cesaris,Tyrrell Ilmor,1:19.343
26,15,Erik Comas,Ligier Renault,1:19.537
21,16,Jyrki Jarvilehto,Dallara Ferrari,1:19.834
3,17,Olivier Grouillard,Tyrrell Ilmor,1:19.849
15,19,Gabriele Tarquini,Fondmetal Ford,1:19.993
23,20,Christian Fittipaldi,Minardi Lamborghini,1:20.133
33,21,Mauricio Gugelmin,Jordan Yamaha,1:20.266
10,22,Aguri Suzuki,Footwork Mugen Honda,1:20.435
24,23,Gianni Morbidelli,Minardi Lamborghini,1:20.445
11,24,Mika Hakkinen,Lotus Ford,1:20.577
12,26,Johnny Herbert,Lotus Ford,1:20.650
17,28,Paul Belmondo,March Ilmor,1:20.886
7,29,Eric van de Poele,Brabham Judd,1:21.770
8,30,Giovanna Amati,Brabham Judd,1:26.645
