,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:17.213
6,2,Riccardo Patrese,Williams Renault,+0.458s
4,3,Andrea de Cesaris,Tyrrell Ilmor,+1.975s
19,4,Michael Schumacher,Benetton Ford,+2.004s
1,5,Ayrton Senna,McLaren Honda,+2.338s
2,6,Gerhard Berger,McLaren Honda,+2.444s
27,7,Jean Alesi,Ferrari,+2.521s
32,8,Stefano Modena,Jordan Yamaha,+2.531s
22,9,Pierluigi Martini,Dallara Ferrari,+2.584s
3,10,Olivier Grouillard,Tyrrell Ilmor,+2.685s
21,11,Jyrki Jarvilehto,Dallara Ferrari,+2.853s
26,12,Erik Comas,Ligier Renault,+2.880s
33,13,Mauricio Gugelmin,Jordan Yamaha,+3.073s
15,14,Gabriele Tarquini,Fondmetal Ford,+3.107s
11,15,Mika Hakkinen,Lotus Ford,+3.120s
9,16,Michele Alboreto,Footwork Mugen Honda,+3.168s
10,17,Aguri Suzuki,Footwork Mugen Honda,+3.258s
20,18,Martin Brundle,Benetton Ford,+3.335s
12,19,Johnny Herbert,Lotus Ford,+3.702s
16,20,Karl Wendlinger,March Ilmor,+3.883s
29,21,Bertrand Gachot,Venturi Lamborghini,+3.910s
24,22,Gianni Morbidelli,Minardi Lamborghini,+4.099s
28,23,Ivan Capelli,Ferrari,+4.346s
23,24,Christian Fittipaldi,Minardi Lamborghini,+4.411s
30,25,Ukyo Katayama,Venturi Lamborghini,+4.442s
25,26,Thierry Boutsen,Ligier Renault,+4.487s
14,27,Andrea Chiesa,Fondmetal Ford,+4.742s
17,28,Paul Belmondo,March Ilmor,+5.210s
7,29,Eric van de Poele,Brabham Judd,+7.087s
8,30,Giovanna Amati,Brabham Judd,+9.597s
