,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,61,1:20.024
8,2,Ayrton Senna,McLaren Ford,59,1:20.187
0,3,Damon Hill,Williams Renault,53,1:20.794
26,4,Mark Blundell,Ligier Renault,56,1:21.235
2,5,Alain Prost,Williams Renault,24,1:21.780
27,6,Jean Alesi,Ferrari,58,1:22.019
12,7,Johnny Herbert,Lotus Ford,63,1:22.503
11,8,Alessandro Zanardi,Lotus Ford,70,1:22.539
29,9,Karl Wendlinger,Sauber,61,1:22.859
9,10,Derek Warwick,Footwork Mugen Honda,60,1:23.071
30,11,Jyrki Jarvilehto,Sauber,52,1:23.755
22,12,Luca Badoer,Lola Ferrari,60,1:23.774
19,13,Philippe Alliot,Larrousse Lamborghini,62,1:23.835
20,14,Erik Comas,Larrousse Lamborghini,56,1:23.877
23,15,Christian Fittipaldi,Minardi Ford,22,1:24.211
21,16,Michele Alboreto,Lola Ferrari,64,1:24.329
14,17,Rubens Barrichello,Jordan Hart,12,1:24.798
10,18,Aguri Suzuki,Footwork Mugen Honda,23,1:25.483
4,19,Andrea de Cesaris,Tyrrell Yamaha,48,1:26.032
6,20,Riccardo Patrese,Benetton Ford,2,1:26.663
3,21,Ukyo Katayama,Tyrrell Yamaha,8,1:26.914
