,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:18.111,7
11,2,Rubens Barrichello,Jordan Peugeot,1:19.092,11
6,3,Jacques Villeneuve,Williams Renault,1:19.254,11
1,4,Michael Schumacher,Ferrari,1:19.474,11
3,5,Jean Alesi,Benetton Renault,1:19.484,9
12,6,Martin Brundle,Jordan Peugeot,1:19.519,12
7,7,Mika Hakkinen,McLaren Mercedes,1:19.607,12
4,8,Gerhard Berger,Benetton Renault,1:19.762,11
15,9,Heinz-Harald Frentzen,Sauber Ford,1:19.799,11
2,10,Eddie Irvine,Ferrari,1:19.951,12
19,11,Mika Salo,Tyrrell Yamaha,1:20.000,12
14,12,Johnny Herbert,Sauber Ford,1:20.144,12
17,13,Jos Verstappen,Footwork Hart,1:20.157,12
8,14,David Coulthard,McLaren Mercedes,1:20.167,12
18,15,Ukyo Katayama,Tyrrell Yamaha,1:20.427,12
16,16,Ricardo Rosset,Footwork Hart,1:20.440,10
21,17,Tarso Marques,Minardi Ford,1:21.421,12
20,18,Pedro Lamy,Minardi Ford,1:21.491,12
22,19,Luca Badoer,Forti Ford,1:23.174,12
23,20,Andrea Montermini,Forti Ford,1:23.454,11
