,Position,Driver,Car,Time
3,1,Jacques Villeneuve,Williams Renault,1:16.004
5,2,Michael Schumacher,Ferrari,1:16.594
8,3,Gerhard Berger,Benetton Renault,1:16.644
9,4,Mika Hakkinen,McLaren Mercedes,1:16.692
14,5,Olivier Panis,Prost Mugen Honda,1:16.756
7,6,Jean Alesi,Benetton Renault,1:16.757
12,7,Giancarlo Fisichella,Jordan Peugeot,1:16.912
4,8,Heinz-Harald Frentzen,Williams Renault,1:16.971
1,9,Damon Hill,Arrows Yamaha,1:17.090
11,10,Ralf Schumacher,Jordan Peugeot,1:17.175
22,11,Rubens Barrichello,Stewart Ford,1:17.259
10,12,David Coulthard,McLaren Mercedes,1:17.262
16,13,Johnny Herbert,Sauber Petronas,1:17.409
6,14,Eddie Irvine,Ferrari,1:17.527
15,15,Shinji Nakano,Prost Mugen Honda,1:17.999
2,16,Pedro Diniz,Arrows Yamaha,1:18.095
21,17,Jarno Trulli,Minardi Hart,1:18.336
20,18,Ukyo Katayama,Minardi Hart,1:18.557
17,19,Nicola Larini,Sauber Petronas,1:18.644
23,20,Jan Magnussen,Stewart Ford,1:18.773
18,21,Jos Verstappen,Tyrrell Ford,1:18.885
19,22,Mika Salo,Tyrrell Ford,1:19.274
