,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Felipe Massa,Ferrari,36,1:13.736,210.377
12,2,Timo Glock,Toyota,32,1:14.057,209.465
1,3,Kimi Räikkönen,Ferrari,59,1:14.117,209.296
22,4,Lewis Hamilton,McLaren Mercedes,31,1:14.159,209.177
11,5,Jarno Trulli,Toyota,40,1:14.167,209.155
23,6,Heikki Kovalainen,McLaren Mercedes,36,1:14.207,209.042
15,7,Sebastian Vettel,STR Ferrari,25,1:14.214,209.022
5,8,Fernando Alonso,Renault,39,1:14.229,208.980
4,9,Robert Kubica,Sauber BMW,61,1:14.375,208.570
3,10,Nick Heidfeld,Sauber BMW,41,1:14.652,207.796
16,11,Jenson Button,Honda,59,1:14.759,207.498
7,12,Nico Rosberg,Williams Toyota,35,1:14.934,207.014
14,13,Sebastien Bourdais,STR Ferrari,57,1:14.951,206.967
10,14,Mark Webber,Red Bull Renault,40,1:15.033,206.741
21,15,Giancarlo Fisichella,Force India Ferrari,36,1:15.212,206.249
17,16,Rubens Barrichello,Honda,35,1:15.414,205.696
20,17,Adrian Sutil,Force India Ferrari,60,1:15.773,204.721
8,18,Kazuki Nakajima,Williams Toyota,50,1:15.865,204.473
