,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,51,1:14.832,207.296,15:09:01
6,2,Nico Rosberg,Mercedes,57,1:14.957,206.950,15:16:31
5,3,Sebastian Vettel,Ferrari,57,1:15.046,206.705,15:16:46
7,4,Kimi Räikkönen,Ferrari,48,1:15.416,205.691,15:05:38
8,5,Romain Grosjean,Lotus Mercedes,57,1:15.739,204.813,15:18:17
19,6,Felipe Massa,Williams Mercedes,57,1:15.743,204.803,15:18:06
9,7,Marcus Ericsson,Sauber Ferrari,57,1:15.789,204.678,15:18:57
11,8,Sergio Perez,Force India Mercedes,53,1:15.970,204.191,15:13:16
33,9,Max Verstappen,STR Renault,56,1:15.972,204.185,15:17:02
77,10,Valtteri Bottas,Williams Mercedes,61,1:16.039,204.005,15:22:34
3,11,Daniel Ricciardo,Red Bull Racing Renault,56,1:16.313,203.273,15:17:07
22,12,Jenson Button,McLaren Honda,53,1:16.321,203.252,15:13:21
13,13,Pastor Maldonado,Lotus Mercedes,63,1:16.354,203.164,15:25:57
26,14,Daniil Kvyat,Red Bull Racing Renault,41,1:16.500,202.776,14:57:10
14,15,Fernando Alonso,McLaren Honda,54,1:16.519,202.726,15:14:43
27,16,Nico Hulkenberg,Force India Mercedes,66,1:16.774,202.052,15:29:17
12,17,Felipe Nasr,Sauber Ferrari,41,1:16.794,202.000,14:57:36
53,18,Alexander Rossi,Marussia Ferrari,43,1:18.617,197.316,15:02:15
28,19,Will Stevens,Marussia Ferrari,42,1:19.098,196.116,15:00:50
