,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:09.452,1:08.638,1:08.322,22
5,2,Sebastian Vettel,Ferrari,1:09.643,1:08.494,1:08.360,21
7,3,Kimi Räikkönen,Ferrari,1:09.405,1:09.116,1:08.538,18
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:09.820,1:09.050,1:08.925,18
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:09.828,1:09.533,1:09.330,19
11,6,Sergio Perez,Force India Mercedes,1:10.145,1:09.760,1:09.598,21
14,7,Fernando Alonso,McLaren Honda,1:10.172,1:09.593,1:09.617,17
27,8,Nico Hulkenberg,Renault,1:10.078,1:09.726,1:09.703,21
55,9,Carlos Sainz,Renault,1:10.227,1:09.768,1:09.805,17
19,10,Felipe Massa,Williams Mercedes,1:09.789,1:09.612,1:09.841,16
31,11,Esteban Ocon,Force India Mercedes,1:10.168,1:09.830,,17
8,12,Romain Grosjean,Haas Ferrari,1:10.148,1:09.879,,16
2,13,Stoffel Vandoorne,McLaren Honda,1:10.286,1:10.116,,15
20,14,Kevin Magnussen,Haas Ferrari,1:10.521,1:10.154,,18
28,15,Brendon Hartley,Toro Rosso,1:10.625,DNS,,15
94,16,Pascal Wehrlein,Sauber Ferrari,1:10.678,,,12
10,17,Pierre Gasly,Toro Rosso,1:10.686,,,10
18,18,Lance Stroll,Williams Mercedes,1:10.776,,,8
9,19,Marcus Ericsson,Sauber Ferrari,1:10.875,,,12
44,NC,Lewis Hamilton,Mercedes,DNF,,,2
