,Position,Driver,Car,Laps,Time,Points
33,1,Max Verstappen,Red Bull Racing Honda,71,1:33:14.678,25
10,2,Pierre Gasly,Scuderia Toro Rosso Honda,71,+6.077s,18
55,3,Carlos Sainz,McLaren Renault,71,+8.896s,15
7,4,Kimi Räikkönen,Alfa Romeo Racing Ferrari,71,+9.452s,12
99,5,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,71,+10.201s,10
3,6,Daniel Ricciardo,Renault,71,+10.541s,8
44,7,Lewis Hamilton,Mercedes,71,+11.139s,6
4,8,Lando Norris,McLaren Renault,71,+11.204s,4
11,9,Sergio Perez,Racing Point BWT Mercedes,71,+11.529s,2
26,10,Daniil Kvyat,Scuderia Toro Rosso Honda,71,+11.931s,1
20,11,Kevin Magnussen,Haas Ferrari,71,+12.732s,0
63,12,George Russell,Williams Mercedes,71,+13.599s,0
8,13,Romain Grosjean,Haas Ferrari,71,+14.247s,0
23,14,Alexander Albon,Red Bull Racing Honda,71,+14.927s,0
27,15,Nico Hulkenberg,Renault,71,+18.059s,0
88,16,Robert Kubica,Williams Mercedes,70,+1 lap,0
5,17,Sebastian Vettel,Ferrari,65,DNF,0
16,18,Charles Leclerc,Ferrari,65,DNF,0
18,19,Lance Stroll,Racing Point BWT Mercedes,65,DNF,0
77,NC,Valtteri Bottas,Mercedes,51,DNF,0
