,Position,Driver,Car,Time / Gap,Laps
14,1,Fernando Alonso,Alpine Renault,1:11.238,23
33,2,Max Verstappen,Red Bull Racing Honda,+0.864s,26
77,3,Valtteri Bottas,Mercedes,+1.117s,24
31,4,Esteban Ocon,Alpine Renault,+1.169s,26
44,5,Lewis Hamilton,Mercedes,+1.503s,25
11,6,Sergio Perez,Red Bull Racing Honda,+1.665s,29
99,7,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.759s,37
55,8,Carlos Sainz,Ferrari,+1.840s,31
16,9,Charles Leclerc,Ferrari,+1.861s,33
7,10,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.117s,39
18,11,Lance Stroll,Aston Martin Mercedes,+2.188s,41
3,12,Daniel Ricciardo,McLaren Mercedes,+2.210s,25
4,13,Lando Norris,McLaren Mercedes,+2.343s,23
10,14,Pierre Gasly,AlphaTauri Honda,+2.370s,32
63,15,George Russell,Williams Mercedes,+2.377s,24
22,16,Yuki Tsunoda,AlphaTauri Honda,+2.488s,38
5,17,Sebastian Vettel,Aston Martin Mercedes,+2.509s,42
6,18,Nicholas Latifi,Williams Mercedes,+2.787s,24
47,19,Mick Schumacher,Haas Ferrari,+2.828s,40
9,20,Nikita Mazepin,Haas Ferrari,+3.671s,37
