,Position,Driver,Car
77,1,Valtteri Bottas,Mercedes
33,2,Max Verstappen,Red Bull Racing Honda
55,3,Carlos Sainz,Ferrari
11,4,Sergio Perez,Red Bull Racing Honda
4,5,Lando Norris,McLaren Mercedes
16,6,Charles Leclerc,Ferrari
10,7,Pierre Gasly,AlphaTauri Honda
31,8,Esteban Ocon,Alpine Renault
5,9,Sebastian Vettel,Aston Martin Mercedes
44,10,Lewis Hamilton,Mercedes
3,11,Daniel Ricciardo,McLaren Mercedes
14,12,Fernando Alonso,Alpine Renault
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari
18,14,Lance Stroll,Aston Martin Mercedes
22,15,Yuki Tsunoda,AlphaTauri Honda
6,16,Nicholas Latifi,Williams Mercedes
63,17,George Russell,Williams Mercedes
47,18,Mick Schumacher,Haas Ferrari
9,19,Nikita Mazepin,Haas Ferrari
7,20,Kimi Räikkönen,Alfa Romeo Racing Ferrari
