,Position,Driver,Car,Laps,Time,Points
63,1,George Russell,Mercedes,24,30:11.307,8
55,2,Carlos Sainz,Ferrari,24,+3.995s,7
44,3,Lewis Hamilton,Mercedes,24,+4.492s,6
1,4,Max Verstappen,Red Bull Racing RBPT,24,+10.494s,5
11,5,Sergio Perez,Red Bull Racing RBPT,24,+11.855s,4
16,6,Charles Leclerc,Ferrari,24,+13.133s,3
4,7,Lando Norris,McLaren Mercedes,24,+25.624s,2
20,8,Kevin Magnussen,Haas Ferrari,24,+28.768s,1
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,24,+30.218s,0
10,10,Pierre Gasly,AlphaTauri RBPT,24,+34.170s,0
3,11,Daniel Ricciardo,McLaren Mercedes,24,+39.395s,0
47,12,Mick Schumacher,Haas Ferrari,24,+41.159s,0
24,13,Guanyu Zhou,Alfa Romeo Ferrari,24,+41.763s,0
77,14,Valtteri Bottas,Alfa Romeo Ferrari,24,+42.338s,0
22,15,Yuki Tsunoda,AlphaTauri RBPT,24,+50.306s,0
18,16,Lance Stroll,Aston Martin Aramco Mercedes,24,+50.700s,0
31,17,Esteban Ocon,Alpine Renault,24,+51.756s,0
14,18,Fernando Alonso,Alpine Renault,24,+53.985s,0
6,19,Nicholas Latifi,Williams Mercedes,24,+76.850s,0
23,NC,Alexander Albon,Williams Mercedes,12,DNF,0
