,Position,Driver,Car,Time
2,1,Carlos Reutemann,Williams Ford,1:17.821
1,2,Alan  Jones,Williams Ford,1:17.995
27,3,Gilles Villeneuve,Ferrari,1:18.060
5,4,Nelson Piquet,Brabham Ford,1:18.161
15,5,Alain Prost,Renault,1:18.433
7,6,John Watson,McLaren Ford,1:18.617
25,7,Patrick Tambay,Ligier Matra,1:18.681
23,8,Bruno Giacomelli,Alfa Romeo,1:18.792
12,9,Nigel Mansell,Lotus Ford,1:19.044
22,10,Mario Andretti,Alfa Romeo,1:19.068
29,11,Riccardo Patrese,Arrows Ford,1:19.152
26,12,Jacques Laffite,Ligier Matra,1:19.167
16,13,Rene Arnoux,Renault,1:19.197
8,14,Andrea de Cesaris,McLaren Ford,1:19.217
11,15,Elio de Angelis,Lotus Ford,1:19.562
6,16,Hector Rebaque,Brabham Ford,1:19.571
4,17,Michele Alboreto,Tyrrell Ford,1:19.774
28,18,Didier Pironi,Ferrari,1:19.899
3,19,Eddie  Cheever,Tyrrell Ford,1:20.475
20,20,Keke Rosberg,Fittipaldi Ford,1:20.729
32,21,Jean-Pierre Jarier,Osella Hart,1:20.781
36,22,Derek Warwick,Toleman Hart,1:21.294
33,23,Marc Surer,Theodore Ford,1:21.430
14,24,Eliseo Salazar,Ensign Ford,1:21.629
