,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:21.811
2,2,Alain Prost,McLaren Honda,+0.230s
27,3,Nigel Mansell,Ferrari,+0.482s
28,4,Gerhard Berger,Ferrari,+1.045s
5,5,Thierry Boutsen,Williams Renault,+1.163s
6,6,Riccardo Patrese,Williams Renault,+1.634s
9,7,Derek Warwick,Arrows Ford,+1.644s
22,8,Andrea de Cesaris,Dallara Ford,+1.690s
8,9,Stefano Modena,Brabham Judd,+1.711s
30,10,Philippe Alliot,Lola Lamborghini,+1.830s
3,11,Jonathan  Palmer,Tyrrell Ford,+2.352s
11,12,Nelson Piquet,Lotus Judd,+2.715s
40,13,Gabriele Tarquini,AGS Ford,+2.787s
15,14,Mauricio Gugelmin,March Judd,+2.884s
23,15,Pierluigi Martini,Minardi Ford,+2.888s
21,16,Alex Caffi,Dallara Ford,+2.954s
12,17,Satoru Nakajima,Lotus Judd,+2.986s
25,18,Rene Arnoux,Ligier Ford,+3.018s
4,19,Michele Alboreto,Tyrrell Ford,+3.350s
17,20,Nicola Larini,Osella Ford,+3.444s
10,21,Eddie  Cheever,Arrows Ford,+3.590s
36,22,Stefan Johansson,Onyx Ford,+3.878s
16,23,Ivan Capelli,March Judd,+4.252s
19,24,Alessandro Nannini,Benetton Ford,+4.369s
26,25,Olivier Grouillard,Ligier Ford,+4.522s
20,26,Johnny Herbert,Benetton Ford,+4.525s
38,27,Christian Danner,Rial Ford,+5.435s
24,28,Luis Perez-Sala,Minardi Ford,+6.504s
29,29,Yannick Dalmas,Lola Lamborghini,+8.368s
31,30,Roberto Moreno,Coloni Ford,+16.001s
