,Position,Driver,Car,Time
2,1,Alain Prost,McLaren Honda,1:20.973
1,2,Ayrton Senna,McLaren Honda,1:21.049
6,3,Riccardo Patrese,Williams Renault,1:21.783
28,4,Gerhard Berger,Ferrari,1:21.946
27,5,Nigel Mansell,Ferrari,1:22.165
5,6,Thierry Boutsen,Williams Renault,1:22.311
8,7,Stefano Modena,Brabham Judd,1:22.612
21,8,Alex Caffi,Dallara Ford,1:22.901
22,9,Andrea de Cesaris,Dallara Ford,1:23.050
30,10,Philippe Alliot,Lola Lamborghini,1:23.059
23,11,Pierluigi Martini,Minardi Ford,1:23.252
9,12,Derek Warwick,Arrows Ford,1:23.348
19,13,Alessandro Nannini,Benetton Ford,1:23.542
3,14,Jonathan  Palmer,Tyrrell Ford,1:23.665
17,15,Nicola Larini,Osella Ford,1:23.799
10,16,Eddie  Cheever,Arrows Ford,1:23.828
15,17,Mauricio Gugelmin,March Judd,1:23.863
36,18,Stefan Johansson,Onyx Ford,1:23.979
11,19,Nelson Piquet,Lotus Judd,1:24.029
4,20,Michele Alboreto,Tyrrell Ford,1:24.296
16,21,Ivan Capelli,March Judd,1:24.406
25,22,Rene Arnoux,Ligier Ford,1:24.558
38,23,Christian Danner,Rial Ford,1:24.727
24,24,Luis Perez-Sala,Minardi Ford,1:24.786
40,25,Gabriele Tarquini,AGS Ford,1:24.793
31,26,Roberto Moreno,Coloni Ford,1:25.037
