,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,57,1:21.500
2,2,Alain Prost,Williams Renault,61,1:21.613
8,3,Ayrton Senna,McLaren Ford,57,1:22.015
0,4,Damon Hill,Williams Renault,54,1:22.101
28,5,Gerhard Berger,Ferrari,57,1:22.776
25,6,Martin Brundle,Ligier Renault,59,1:22.842
7,7,Michael Andretti,McLaren Ford,49,1:22.957
29,8,Karl Wendlinger,Sauber,53,1:23.377
30,9,Jyrki Jarvilehto,Sauber,41,1:23.447
6,10,Riccardo Patrese,Benetton Ford,48,1:23.778
12,11,Johnny Herbert,Lotus Ford,54,1:24.359
23,12,Christian Fittipaldi,Minardi Ford,43,1:24.674
27,13,Jean Alesi,Ferrari,21,1:24.745
20,14,Erik Comas,Larrousse Lamborghini,58,1:24.791
15,15,Thierry Boutsen,Jordan Hart,54,1:24.874
11,16,Alessandro Zanardi,Lotus Ford,57,1:25.038
10,17,Aguri Suzuki,Footwork Mugen Honda,53,1:25.614
4,18,Andrea de Cesaris,Tyrrell Yamaha,44,1:25.763
24,19,Fabrizio Barbazza,Minardi Ford,23,1:25.832
3,20,Ukyo Katayama,Tyrrell Yamaha,62,1:25.833
26,21,Mark Blundell,Ligier Renault,13,1:26.236
22,22,Luca Badoer,Lola Ferrari,47,1:26.440
14,23,Rubens Barrichello,Jordan Hart,9,1:26.579
9,24,Derek Warwick,Footwork Mugen Honda,54,1:26.657
19,25,Philippe Alliot,Larrousse Lamborghini,8,1:26.825
