,Position,Driver,Car,Time,Laps
5,1,Michael Schumacher,Benetton Ford,1:26.178,22
27,2,Jean Alesi,Ferrari,1:26.277,24
28,3,Gerhard Berger,Ferrari,1:27.059,24
0,4,Damon Hill,Williams Renault,1:27.094,24
2,5,David Coulthard,Williams Renault,1:27.211,20
14,6,Rubens Barrichello,Jordan Hart,1:27.554,21
7,7,Mika Hakkinen,McLaren Peugeot,1:27.616,24
15,8,Eddie Irvine,Jordan Hart,1:27.780,24
3,9,Ukyo Katayama,Tyrrell Yamaha,1:27.827,20
30,10,Heinz-Harald Frentzen,Sauber Mercedes,1:27.977,21
10,11,Gianni Morbidelli,Footwork Ford,1:27.989,24
8,12,Martin Brundle,McLaren Peugeot,1:28.197,24
4,13,Mark Blundell,Tyrrell Yamaha,1:28.579,23
29,14,Andrea de Cesaris,Sauber Mercedes,1:28.694,24
23,15,Pierluigi Martini,Minardi Ford,1:28.847,23
9,16,Christian Fittipaldi,Footwork Ford,1:28.882,24
12,17,Johnny Herbert,Lotus Mugen Honda,1:28.889,22
24,18,Michele Alboreto,Minardi Ford,1:28.903,21
26,19,Olivier Panis,Ligier Renault,1:28.950,24
6,20,Jyrki Jarvilehto,Benetton Ford,1:28.993,21
20,21,Erik Comas,Larrousse Ford,1:29.039,23
19,22,Olivier Beretta,Larrousse Ford,1:29.403,24
11,23,Alessandro Zanardi,Lotus Mugen Honda,1:30.160,23
25,24,Eric Bernard,Ligier Renault,1:30.493,22
31,25,David Brabham,Simtek Ford,1:31.632,20
34,26,Bertrand Gachot,Pacific Ilmor,1:32.838,22
33,27,Paul Belmondo,Pacific Ilmor,1:33.006,22
