,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:15.889,1:15.528,1:15.105,20
6,2,Mark Webber,RBR Renault,1:16.423,1:15.692,1:15.373,21
5,3,Sebastian Vettel,RBR Renault,1:16.129,1:15.556,1:15.420,24
8,4,Fernando Alonso,Ferrari,1:16.171,1:15.597,1:15.435,24
1,5,Jenson Button,McLaren Mercedes,1:16.371,1:15.742,1:15.520,24
15,6,Vitantonio Liuzzi,Force India Mercedes,1:17.086,1:16.171,1:15.648,22
7,7,Felipe Massa,Ferrari,1:16.673,1:16.314,1:15.688,23
11,8,Robert Kubica,Renault,1:16.370,1:15.682,1:15.715,21
14,9,Adrian Sutil,Force India Mercedes,1:16.495,1:16.295,1:15.881,21
4,10,Nico Rosberg,Mercedes,1:16.350,1:16.001,1:16.071,20
9,11,Rubens Barrichello,Williams Cosworth,1:16.880,1:16.434,,22
10,12,Nico Hulkenberg,Williams Cosworth,1:16.770,1:16.438,,20
3,13,Michael Schumacher,Mercedes,1:16.598,1:16.492,,16
12,14,Vitaly Petrov,Renault,1:16.569,1:16.844,,21
16,15,Sebastien Buemi,STR Ferrari,1:17.356,1:16.928,,16
17,16,Jaime Alguersuari,STR Ferrari,1:17.027,1:17.029,,17
22,17,Pedro de la Rosa,Sauber Ferrari,1:17.611,1:17.384,,19
23,18,Kamui Kobayashi,Sauber Ferrari,1:18.019,,,10
19,19,Heikki Kovalainen,Lotus Cosworth,1:18.237,,,12
18,20,Jarno Trulli,Lotus Cosworth,1:18.698,,,11
24,21,Timo Glock,Virgin Cosworth,1:18.941,,,12
21,22,Bruno Senna,HRT Cosworth,1:19.484,,,10
25,23,Lucas di Grassi,Virgin Cosworth,1:19.675,,,12
20,24,Karun Chandhok,HRT Cosworth,1:27.757,,,3
