,Position,Driver,Car,Lap,Time,Avg Speed
4,1,Jenson Button,McLaren Mercedes,69,1:16.956,204.007
1,2,Sebastian Vettel,Red Bull Racing Renault,69,1:17.217,203.317
10,3,Vitaly Petrov,Renault,68,1:19.054,198.593
7,4,Michael Schumacher,Mercedes,70,1:19.138,198.382
6,5,Felipe Massa,Ferrari,68,1:19.148,198.357
15,6,Paul di Resta,Force India Mercedes,67,1:19.395,197.740
18,7,Sebastien Buemi,STR Ferrari,69,1:19.507,197.461
2,8,Mark Webber,Red Bull Racing Renault,65,1:19.572,197.300
8,9,Nico Rosberg,Mercedes,69,1:20.071,196.070
16,10,Kamui Kobayashi,Sauber Ferrari,70,1:20.213,195.723
11,11,Rubens Barrichello,Williams Cosworth,68,1:20.316,195.472
17,12,Pedro de la Rosa,Sauber Ferrari,70,1:20.369,195.343
19,13,Jaime Alguersuari,STR Ferrari,69,1:20.371,195.339
21,14,Jarno Trulli,Lotus Renault,67,1:22.233,190.916
25,15,Jerome d'Ambrosio,Virgin Cosworth,68,1:22.495,190.309
22,16,Narain Karthikeyan,HRT Cosworth,66,1:23.116,188.887
23,17,Vitantonio Liuzzi,HRT Cosworth,63,1:23.419,188.201
12,18,Pastor Maldonado,Williams Cosworth,53,1:24.265,186.312
24,19,Timo Glock,Virgin Cosworth,68,1:24.590,185.596
9,20,Nick Heidfeld,Renault,55,1:25.135,184.408
14,21,Adrian Sutil,Force India Mercedes,47,1:30.171,174.109
5,22,Fernando Alonso,Ferrari,14,1:34.223,166.621
3,23,Lewis Hamilton,McLaren Mercedes,7,1:37.761,160.591
20,24,Heikki Kovalainen,Lotus Renault,16,1:38.460,159.451
