,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:34.012,6
6,2,Kimi Räikkönen,McLaren Mercedes,1:34.178,6
9,3,Jenson Button,BAR Honda,1:34.295,6
12,4,Felipe Massa,Sauber Petronas,1:34.759,6
4,5,Ralf Schumacher,Williams BMW,1:34.891,6
8,6,Fernando Alonso,Renault,1:34.917,6
11,7,Giancarlo Fisichella,Sauber Petronas,1:34.951,6
17,8,Olivier Panis,Toyota,1:34.975,6
10,9,Takuma Sato,BAR Honda,1:34.993,6
5,10,David Coulthard,McLaren Mercedes,1:35.029,6
3,11,Juan Pablo Montoya,Williams BMW,1:35.245,6
14,12,Mark Webber,Jaguar Cosworth,1:35.286,6
7,13,Jacques Villeneuve,Renault,1:35.384,6
16,14,Ricardo Zonta,Toyota,1:35.410,6
18,15,Nick Heidfeld,Jordan Ford,1:36.507,6
15,16,Christian Klien,Jaguar Cosworth,1:36.535,6
19,17,Timo Glock,Jordan Ford,1:37.140,6
21,18,Zsolt Baumgartner,Minardi Cosworth,1:40.240,6
1,19,Michael Schumacher,Ferrari,1:33.185,5
20,20,Gianmaria Bruni,Minardi Cosworth,1:36.623,5
