,Position,Driver,Car,Lap,Time,Avg Speed
9,1,Kimi Räikkönen,McLaren Mercedes,56,1:33.242,210.458
5,2,Fernando Alonso,Renault,45,1:33.536,209.797
6,3,Giancarlo Fisichella,Renault,54,1:33.563,209.736
15,4,Christian Klien,RBR Cosworth,43,1:33.727,209.369
17,5,Ralf Schumacher,Toyota,44,1:34.035,208.684
12,6,Felipe Massa,Sauber Petronas,43,1:34.094,208.553
7,7,Mark Webber,Williams BMW,53,1:34.271,208.161
10,8,Juan Pablo Montoya,McLaren Mercedes,15,1:34.501,207.654
8,9,Antonio Pizzonia,Williams BMW,52,1:34.560,207.525
14,10,David Coulthard,RBR Cosworth,54,1:34.585,207.470
11,11,Jacques Villeneuve,Sauber Petronas,53,1:34.713,207.190
3,12,Jenson Button,BAR Honda,53,1:34.766,207.074
2,13,Rubens Barrichello,Ferrari,18,1:35.011,206.540
16,14,Jarno Trulli,Toyota,16,1:35.347,205.812
4,15,Takuma Sato,BAR Honda,17,1:35.587,205.295
1,16,Michael Schumacher,Ferrari,16,1:35.877,204.674
18,17,Tiago Monteiro,Jordan Toyota,13,1:36.563,203.220
20,18,Robert Doornbos,Minardi Cosworth,54,1:36.894,202.526
21,19,Christijan Albers,Minardi Cosworth,48,1:37.215,201.857
19,20,Narain Karthikeyan,Jordan Toyota,17,1:37.398,201.478
