,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:33.333,1:32.406,1:31.678,13
5,2,Sebastian Vettel,Ferrari,1:33.078,1:32.391,1:31.864,15
77,3,Valtteri Bottas,Mercedes,1:33.684,1:32.552,1:31.865,14
7,4,Kimi Räikkönen,Ferrari,1:33.341,1:32.181,1:32.140,15
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:34.041,1:33.546,1:33.033,12
19,6,Felipe Massa,Williams Mercedes,1:34.205,1:33.759,1:33.507,14
27,7,Nico Hulkenberg,Renault,1:34.453,1:33.636,1:33.580,16
11,8,Sergio Perez,Force India Mercedes,1:34.657,1:33.920,1:33.706,15
26,9,Daniil Kvyat,Toro Rosso,1:34.440,1:34.034,1:33.719,17
18,10,Lance Stroll,Williams Mercedes,1:33.986,1:34.090,1:34.220,18
55,11,Carlos Sainz,Toro Rosso,1:34.567,1:34.150,,11
20,12,Kevin Magnussen,Haas Ferrari,1:34.942,1:34.164,,12
14,13,Fernando Alonso,McLaren Honda,1:34.499,1:34.372,,11
9,14,Marcus Ericsson,Sauber Ferrari,1:34.892,1:35.046,,15
36,15,Antonio Giovinazzi,Sauber Ferrari,1:34.963,,,8
2,16,Stoffel Vandoorne,McLaren Honda,1:35.023,,,6
8,17,Romain Grosjean,Haas Ferrari,1:35.223,,,6
30,18,Jolyon Palmer,Renault,1:35.279,,,6
33,19,Max Verstappen,Red Bull Racing TAG Heuer,1:35.433,,,7
31,20,Esteban Ocon,Force India Mercedes,1:35.496,,,8
