,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,55,1:35.785,204.871,15:47:35
33,2,Max Verstappen,Red Bull Racing TAG Heuer,50,1:36.206,203.974,15:39:41
7,3,Kimi Räikkönen,Ferrari,48,1:36.456,203.446,15:36:25
44,4,Lewis Hamilton,Mercedes,20,1:36.878,202.559,14:47:07
27,5,Nico Hulkenberg,Renault,56,1:36.881,202.553,15:49:33
77,6,Valtteri Bottas,Mercedes,50,1:36.987,202.332,15:39:37
14,7,Fernando Alonso,McLaren Renault,56,1:37.234,201.818,15:49:42
8,8,Romain Grosjean,Haas Ferrari,51,1:37.410,201.453,15:42:08
5,9,Sebastian Vettel,Ferrari,24,1:37.479,201.311,14:53:29
11,10,Sergio Perez,Force India Mercedes,54,1:37.673,200.911,15:46:37
55,11,Carlos Sainz,Renault,54,1:37.754,200.744,15:46:30
31,12,Esteban Ocon,Force India Mercedes,47,1:37.985,200.271,15:35:10
2,13,Stoffel Vandoorne,McLaren Renault,54,1:38.137,199.961,15:46:44
20,14,Kevin Magnussen,Haas Ferrari,54,1:38.152,199.930,15:46:34
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,54,1:38.367,199.493,15:46:50
9,16,Marcus Ericsson,Sauber Ferrari,52,1:38.386,199.455,15:43:39
18,17,Lance Stroll,Williams Mercedes,54,1:38.500,199.224,15:46:49
35,18,Sergey Sirotkin,Williams Mercedes,47,1:38.624,198.973,15:35:20
16,19,Charles Leclerc,Sauber Ferrari,23,1:38.808,198.603,14:53:07
28,20,Brendon Hartley,Scuderia Toro Rosso Honda,50,1:39.376,197.468,15:40:35
