,Position,Driver,Car,Time
5,1,Sebastian Vettel,Ferrari,1:31.095
7,2,Kimi Räikkönen,Ferrari,1:31.182
77,3,Valtteri Bottas,Mercedes,1:31.625
44,4,Lewis Hamilton,Mercedes,1:31.675
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:31.796
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:31.948
27,7,Nico Hulkenberg,Renault,1:32.532
11,8,Sergio Perez,Force India Mercedes,1:32.758
55,9,Carlos Sainz,Renault,1:32.819
8,10,Romain Grosjean,Haas Ferrari,1:32.855
20,11,Kevin Magnussen,Haas Ferrari,1:32.986
31,12,Esteban Ocon,Force India Mercedes,1:33.057
14,13,Fernando Alonso,McLaren Renault,1:33.232
2,14,Stoffel Vandoorne,McLaren Renault,1:33.505
28,15,Brendon Hartley,Scuderia Toro Rosso Honda,1:33.795
35,16,Sergey Sirotkin,Williams Mercedes,1:34.062
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,1:34.101
18,18,Lance Stroll,Williams Mercedes,1:34.285
16,19,Charles Leclerc,Sauber Ferrari,1:34.454
9,20,Marcus Ericsson,Sauber Ferrari,1:34.914
