,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,56,1:32:06.350,25
77,2,Valtteri Bottas,Mercedes,56,+6.552s,18
5,3,Sebastian Vettel,Ferrari,56,+13.744s,15
33,4,Max Verstappen,Red Bull Racing Honda,56,+27.627s,12
16,5,Charles Leclerc,Ferrari,56,+31.276s,10
10,6,Pierre Gasly,Red Bull Racing Honda,56,+89.307s,9
3,7,Daniel Ricciardo,Renault,55,+1 lap,6
11,8,Sergio Perez,Racing Point BWT Mercedes,55,+1 lap,4
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,55,+1 lap,2
23,10,Alexander Albon,Scuderia Toro Rosso Honda,55,+1 lap,1
8,11,Romain Grosjean,Haas Ferrari,55,+1 lap,0
18,12,Lance Stroll,Racing Point BWT Mercedes,55,+1 lap,0
20,13,Kevin Magnussen,Haas Ferrari,55,+1 lap,0
55,14,Carlos Sainz,McLaren Renault,55,+1 lap,0
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,55,+1 lap,0
63,16,George Russell,Williams Mercedes,54,+2 laps,0
88,17,Robert Kubica,Williams Mercedes,54,+2 laps,0
4,18,Lando Norris,McLaren Renault,50,DNF,0
26,NC,Daniil Kvyat,Scuderia Toro Rosso Honda,41,DNF,0
27,NC,Nico Hulkenberg,Renault,16,DNF,0
