,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:14.221,1:14.585,1:13.609,22
44,2,Lewis Hamilton,Mercedes,1:14.229,1:14.643,1:13.706,22
33,3,Max Verstappen,Red Bull Racing Honda,1:15.034,1:14.974,1:14.176,16
10,4,Pierre Gasly,AlphaTauri Honda,1:15.183,1:14.681,1:14.502,19
3,5,Daniel Ricciardo,Renault,1:15.474,1:14.953,1:14.520,18
23,6,Alexander Albon,Red Bull Racing Honda,1:15.402,1:14.745,1:14.572,21
16,7,Charles Leclerc,Ferrari,1:15.123,1:15.017,1:14.616,20
26,8,Daniil Kvyat,AlphaTauri Honda,1:15.412,1:15.022,1:14.696,21
4,9,Lando Norris,McLaren Renault,1:15.274,1:15.051,1:14.814,17
55,10,Carlos Sainz,McLaren Renault,1:15.528,1:15.027,1:14.911,19
11,11,Sergio Perez,Racing Point BWT Mercedes,1:15.407,1:15.061,,16
31,12,Esteban Ocon,Renault,1:15.352,1:15.201,,14
63,13,George Russell,Williams Mercedes,1:15.760,1:15.323,,18
5,14,Sebastian Vettel,Ferrari,1:15.571,1:15.385,,20
18,15,Lance Stroll,Racing Point BWT Mercedes,1:15.822,1:15.494,,16
8,16,Romain Grosjean,Haas Ferrari,1:15.918,,,10
20,17,Kevin Magnussen,Haas Ferrari,1:15.939,,,11
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:15.953,,,10
6,19,Nicholas Latifi,Williams Mercedes,1:15.987,,,12
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:16.208,,,8
